Parameters,Physical lower bound,Physical Upper bound,Normal Lower,Normal Upper,Normal ,Reliability NR < SR < R <VR,Units,Notes,Location in SuperTable,Location in Flatfiles,Questions,Unnamed: 12
hemoglobin_a1c,0.0,30,5.7,6.4,5.7 to 6.4,,%,,hemoglobin_a1c,labs,,
parathyroid_level,1.0,?,10.0,65.0,10 to 65,,pg/mL,,parathyroid_level,labs,1. ? On upper range - does it mean the same as n/a,
thyroid_stimulating_hormone_(tsh),0.01,?,0.5,5.0,"0,5 to 5.0",,mIU/L,,thyroid_stimulating_hormone_(tsh),labs,1. ? On upper range - does it mean the same as n/a,
crp_high_sens,0.0,,,10.0,<10,,mg/L,,crp_high_sens,labs,,
procalcitonin,0.01,,,0.05,<0.05,,mcg/L,,procalcitonin,labs,,
erythrocyte_sedimentation_rate_(esr),0.0,,0.0,30.0,0 to 30,,mm/hr,,erythrocyte_sedimentation_rate_(esr),labs,,
 norepinephrine_dose_weight,0.0,3,,1.0,<=1,,mcg/kg/min,Note: would need to make this variable weight-based first (norepinephrine_dose_weight / daily_weight_kg if norepinephrine_dose_unit is in mcg/min,norepinephrine_dose_weight,vent,,
 epinephrine_dose_weight,0.0,3,,1.0,<=1,,mcg/kg/min,Note: would need to make this variable weight-based first (epinephrine_dose_weight / daily_weight_kg if epinephrine_dose_unit is in mcg/min,epinephrine_dose_weight,vent,,
 dobutamine_dose_weight,0.0,30,,20.0,<=20,,mcg/kg/min,Note: would need to make this variable weight-based first (dobutamine_dose_weight / daily_weight_kg if dobutamine_dose_unit is in mcg/min,dobutamine_dose_weight,vent,,
 dopamine_dose_weight,0.0,50,,30.0,<=30,,pg/mL,,dopamine_dose_weight,vent,,
 phenylephrine_dose_weight,0.0,500,,400.0,<=400,,mcg/min,,phenylephrine_dose_weight,vent,,
 vasopressin_dose_weight,0.0,0.2,0.03,0.04,0.03 to 0.04,,U/min,,vasopressin_dose_weight,vent,,
height,,,,,,,,,,,,
neutrophils,0.0,,,,,,,,neutrophils,labs,,
lymphocytes,0.0,,,,,,,,lymphocytes,labs,,
systolic blood pressure (SBP),50.0,370,90.0,130.0,90-130,R,,Will need to cross-check as it is part of the calculation of best_map and pulse_pressure,sbp_cuff,vitals,,
diastolic blood pressure (DBP),15.0,140,65.0,75.0,65-75,SR,,Will need to cross-check as it is part of the calculation of best_map and pulse_pressure,dbp_cuff,vitals,,
vent_rate_set,0.0,30,,,,,,,,,,
vent_tidal_rate_set,0.0,1000,,,,,,,,,,
vent_tidal_rate_exhaled,0.0,1000,,,,,,,,,,
peep,5.0,25,,,,,,,,,,
