physionet,import,super_table_col_name,component_id,component
No,Yes,calcium_ionized,116562078,"Ionized Calcium, Blood Gas, POCT"
Yes,Yes,glucose,116562321,"Glucose, Blood Gas, POCT"
Yes,Yes,chloride,245584165,"Chloride, Blood Gas, POCT"
No,Yes,met_hgb,116560870,"Methemoglobin, Blood Gas, POCT"
No,Yes,carboxy_hgb,116560446,"Carboxyhemoglobin, Blood Gas, POCT"
No,No,(grouping)_venous_blood_gas,665486962,"pO2, Venous - Resp"
No,No,(grouping)_venous_blood_gas,665487078,"O2Hb, Venous - Resp"
Yes,Yes,base_excess,116559600,"Base Excess, Blood Gas, POCT"
No,No,not_reviewed,1513190,Polychromasia
No,No,not_reviewed,749082242,"HCO3, Blood Gas, POCT"
No,No,not_reviewed,1514567,Cholesterol Level Total
No,No,(grouping)_venous_blood_gas,665486998,"Bicarbonate, Venous - Resp"
No,No,(grouping)_venous_blood_gas,665487034,"Base Excess, Venous - Resp"
No,No,(grouping)_venous_blood_gas,749082270,"Lactate, Arterial, POCT"
Yes,Yes,pH,116558557,"pH, Arterial, POCT"
Yes,Yes,partial_pressure_of_carbon_dioxide_(paco2),116558758,"pCO2, Arterial, POCT"
Yes,Yes,saturation_of_oxygen_(sao2),116559775,"O2 Saturation, Arterial, POCT"
No,Yes,partial_pressure_of_oxygen_(pao2),116559099,"pO2, Arterial, POCT"
No,No,not_reviewed,1513872,HDL Cholesterol
No,No,not_reviewed,1513577,LDL Cholesterol
No,No,not_reviewed,200185787,Non-HDL Cholesterol
No,No,not_reviewed,1512237,VLDL Cholesterol
No,No,not_reviewed,1512296,Uric Acid
No,Yes,d_dimer,2304207685,D-Dimer (FEU)
No,No,(grouping)_urine,1513714,Hyaline Cast/LPF
No,No,(grouping)_venous_blood_gas,665486926,"pCO2, Venous - Resp"
no,No,(grouping)_drug_level,1512269,Vancomycin Level Trough
No,No,(grouping)_venous_blood_gas,665486966,"pO2, Mixed V-R"
No,No,(grouping)_venous_blood_gas,665487082,"O2Hb, Mixed V-R"
No,No,(grouping)_nutrition,1514139,Ferritin Level
No,No,(grouping)_urine,1512863,Sodium Level Urine Random
No,No,(grouping)_immune_test,1513905,Hepatitis B Surface Antigen
No,No,(grouping)_blood_differential,618861072,"Eosinophil, Manual Absolute Count"
No,No,(grouping)_nutrition,1514859,Vitamin B12 Level
No,No,(grouping)_nutrition,1513634,Iron Level
No,No,(grouping)_venous_blood_gas,665486930,"pCO2, Mixed V-R"
No,No,(grouping)_aterial_blood_gas,1515152,% Saturation
No,No,(grouping)_nutrition,1512625,TIBC
Yes,Yes,potassium,668023079,OR K
Yes,Yes,glucose,668023092,OR GLU
No,Yes,sodium,668023074,OR NA
Yes,Yes,lactic_acid,896884599,SJH OR Lactate
Yes,Yes,partial_pressure_of_carbon_dioxide_(paco2),668022811,OR ART PCO2
Yes,Yes,ph,668022776,OR ART PH
Yes,Yes,bicarb_(hco3),668022824,OR ART BICARB
Yes,Yes,hemoglobin,651859087,OR ART HGB
Yes,Yes,saturation_of_oxygen_(sao2),651859079,OR ART O2 SAT-meas
No,No,not_reviewed,668022879,OR Arterial %O2 Hb
No,Yes,partial_pressure_of_oxygen_(pao2),668022817,OR ART PO2
No,Yes,met_hgb,668022870,OR ART MET HGB
No,No,not_reviewed,668022828,OR ART BE
No,No,not_reviewed,1512828,RPR
No,No,not_reviewed,1513987,Gamma Glutamyl Transferase
No,Yes,carboxy_hgb,668022863,OR ART CO HGB
No,Yes,ammonia,1514971,Ammonia Level
No,Yes,calcium_ionized,293270438,"Ionized Calcium Level, Plasma"
#N/A,#N/A,covid,3518201199,Coronavirus CoVID19 by PCR
No,Yes,erythrocyte_sedimentation_rate_(esr),1512205,Sedimentation Rate
No,No,(grouping)_nutrition,1514094,Folate Level
No,Yes,calcium_ionized,668023086,OR IONIZED CA
No,Yes,osmolarity,1513326,"Osmolality, Serum"
No,No,not_reviewed,1512348,UIBC
No,No,(grouping)_blood_differential,618861044,"Basophil, Manual Absolute Count"
No,No,(grouping)_blood_morphology,651859707,Fragmented Red Blood Cell (Schistocyte)
No,No,(grouping)_blood_morphology,1512670,Tear Drop Cell
No,No,(grouping)_blood_morphology,1513345,Nucleated RBC
No,No,(grouping)_blood_morphology,1513451,Metamyelocyte
No,No,(grouping)_blood_morphology,1513379,Myelocyte
No,No,not_reviewed,1514065,Thyroxine Free
no,No,(grouping)_drug_level,1512270,Vancomycin Level Random
No,No,(grouping)_venous_blood_gas,665490979,"pH, Mixed V-R"
No,No,(grouping)_venous_blood_gas,665487002,"Bicarbonate, Mixed V-R"
No,No,(grouping)_venous_blood_gas,665487038,"Base Excess, Mixed V-R"
No,No,(grouping)_blood_morphology,1512921,Reticulocyte
No,No,(grouping)_blood_morphology,1515080,Absolute Reticulocyte Count
No,No,(grouping)_urine,1512848,Osmolality Urine Random
No,Yes,c_diff,455063287,C Difficle Toxin Assay Feces
Yes,Yes,fio2,665490260,FiO2 - Anes
Yes,Yes,hemoglobin,665487054,Total Hgb - Anes
Yes,Yes,potassium,665487134,Potassium - Anes
No,Yes,carboxy_hgb,665487094,COHb - Anes
No,Yes,met_hgb,665487102,MetHb - Anes
No,Yes,sodium,665487126,Sodium - Anes
Yes,Yes,lactic_acid,665487166,Lactate - Anes
No,Yes,calcium_ionized,665487150,Ionized Calcium - Anes
Yes,Yes,glucose,665487158,Glucose - Anes
Yes,Yes,hematocrit,1788492,"Hematocrit, EUH-OR"
Yes,Yes,partial_pressure_of_carbon_dioxide_(paco2),665492721,"pCO2, Art - Anes"
No,Yes,partial_pressure_of_oxygen_(pao2),665486946,"pO2, Art - Anes"
Yes,Yes,ph,665490849,"pH, Art - Anes"
Yes,Yes,bicarb_(hco3),665486982,"Bicarbonate, Art - Anes"
Yes,Yes,saturation_of_oxygen_(sao2),665487062,"O2Hb, Art - Anes"
Yes,Yes,base_excess,665487018,"Base Excess, Art - Anes"
No,No,not_reviewed,1513478,MB Fraction
No,Yes,partial_pressure_of_oxygen_(pao2),665487086,"Oxygen Saturation, Art - Anes"
No,No,not_reviewed,665487110,"O2 Content, Art - Anes"
No,No,(grouping)_urine,1514848,Bacteria
No,No,(grouping)_venous_blood_gas,749081159,"Oxygen Saturation, Ven - Resp"
no,No,(grouping)_drug_level,1513008,Amphetamines Screen Urine Random
no,No,(grouping)_drug_level,1512963,Cocaine Screen Urine Random
no,No,(grouping)_drug_level,1512999,Barbiturate Screen Urine Random
no,No,(grouping)_drug_level,1512854,Opiate Screen Urine Random
no,No,(grouping)_drug_level,1512983,Benzodiazepine Screen Urine Random
no,No,(grouping)_drug_level,1512817,Marijuana Metabolite Screen Urine Random
no,No,(grouping)_drug_level,1512843,Phencyclidine Urine Random
No,No,(grouping)_fluid_body,749093207,Total Cells Body Fluid
No,No,(grouping)_fluid_body,1514803,Appearance Body Fluid
No,No,(grouping)_fluid_body,749093184,Body Fluid Type for Cell Count
No,No,(grouping)_fluid_body,1513420,Nucleated Cells Fluid
No,No,(grouping)_fluid_body,749093480,Neutrophil Body Fluid
No,No,(grouping)_fluid_body,1514798,Macrophage Body Fluid
No,No,(grouping)_immune_test,1514882,Antithrombin  III Activity Assay
No,No,(grouping)_immune_test,1513906,Hepatitis B Surface Antibody Quant
No,No,(grouping)_immune_test,1513886,Hepatitis C Antibody
No,No,(grouping)_nutrition,491626061,"Vitamin D, 25-Hydroxy"
No,No,not_reviewed,1513421,MN NUC AVG
No,No,not_reviewed,1513419,MN NUC DIL
No,Yes,procalcitonin,1741009237,Procalcitonin
No,No,not_reviewed,1513422,MN NUC #SQ
No,No,not_reviewed,1514799,Lymphocyte Body Fluid
No,No,not_reviewed,330179740,HIV Antigen/Antibody Combo
No,No,not_reviewed,1512831,Protein Urine Random
No,No,not_reviewed,749080580,"Nucleated RBC, Abs"
No,No,not_reviewed,1512684,Target Cell
No,No,not_reviewed,1512873,Methadone Urine Random
No,Yes,d_dimer,1514319,D-Dimer
No,No,not_reviewed,1514490,COR RETIC
No,No,not_reviewed,2105896679,Oxycodone Screen Urine Random
No,No,(grouping)_fluid_csf,1514385,Glucose Cerebrospinal Fluid
No,No,not_reviewed,1514373,Protein Cerebrospinal Fluid
No,No,not_reviewed,222239128,Parainfluenza 2
No,No,not_reviewed,222239607,Rhinovirus
No,No,not_reviewed,222237842,Influenza A
No,No,not_reviewed,222238902,Parainfluenza 1
No,No,not_reviewed,222237599,Respiratory Virus Panel-Specimen
No,No,not_reviewed,222242848,Influenza A H1 Interp
No,No,not_reviewed,222239363,Parainfluenza 3
No,No,not_reviewed,222243636,Influenza A H3 Interp
No,No,not_reviewed,222238671,Respiratory Syncytial Virus B
No,No,not_reviewed,222238478,Respiratory Syncytial Virus A
No,No,not_reviewed,222238082,Influenza B
No,No,not_reviewed,222239764,Metapneumovirus
No,No,not_reviewed,222239990,Adenovirus
No,No,not_reviewed,222240335,Influenza A Interpretation
No,No,not_reviewed,222240691,Rhinovirus Interpretation
No,No,not_reviewed,1512841,Pregnancy Screen Urine Qualitative
No,Yes,amylase,1514961,Amylase Level
No,No,not_reviewed,1514513,Cytomegalovirus Viral Load Quant PCR
No,Yes,cortisol,1514484,Cortisol Level
No,No,not_reviewed,1512966,RCMF
No,No,not_reviewed,1106884090,Influenza A H1N1
No,No,not_reviewed,1515013,Ethanol Level
No,No,not_reviewed,1513710,Hypochromasia
No,No,not_reviewed,1514780,Color Body Fluid
No,No,not_reviewed,749080556,"Reactive Lymphs, Manual Absolute"
No,No,not_reviewed,1513635,Parathormone
Yes,Yes,glucose,1513964,"Glucose, OR"
No,No,not_reviewed,618861064,"Echinocyte (Burr, Crenated)"
No,No,not_reviewed,1513616,"Potassium, OR"
No,Yes,carboxy_hgb,1514656,Carboxyhemoglobin
No,No,not_reviewed,1513368,"Sodium, OR"
No,No,not_reviewed,1513701,"Ionized Calcium, OR"
Yes,Yes,chloride,512014958,Chloride - OR
Yes,Yes,hematocrit,1513888,"Hematocrit, OR"
Yes,Yes,hemoglobin,1513807,"Hemoglobin, OR"
No,Yes,met_hgb,1513452,Methemoglobin
No,No,not_reviewed,1514813,BE
No,No,not_reviewed,1513671,Hepatitis A Antibody IgM
No,No,not_reviewed,1512836,RPI
No,Yes,prealbumin,1513312,Prealbumin Level
No,No,not_reviewed,651859711,"Macrocytosis,  Round"
No,No,not_reviewed,1513672,Hepatitis B Core Antibody IgM
No,No,not_reviewed,749485212,Influenza A PCR
No,No,not_reviewed,749485429,Influenza B PCR
No,No,not_reviewed,1513441,Microcyte
No,No,not_reviewed,1512881,Potassium Level Urine Random
No,No,not_reviewed,1513986,Giant Platelet Forms
No,No,not_reviewed,618861110,"zHCO3, Arterial"
No,No,not_reviewed,1513205,"PO2, Arterial CLH"
No,No,not_reviewed,1513254,"PH, Arterial CLH"
No,No,not_reviewed,1513281,"PCO2, Arterial CLH"
No,No,not_reviewed,1513337,"O2 Saturation, Arterial CLH"
No,No,not_reviewed,1905382,ALLEN'S (NC)
No,No,not_reviewed,1514724,Blast
No,No,(grouping)_urine,1512802,Urea Nitrogen Urine Random
No,No,(grouping)_urine,1512968,Chloride Urine Random
No,No,not_reviewed,423701092,Beta Hydroxybutyrate
No,No,not_reviewed,1512538,TRANIBC
No,No,not_reviewed,1513746,Haptoglobin Level
No,No,not_reviewed,1512560,Toxic Granulation
No,No,not_reviewed,1514288,dsDNA Antibody IgG Titer
No,No,not_reviewed,1514966,Amorphous/HPF
No,No,not_reviewed,2404580847,RSV PCR
No,No,not_reviewed,2404657917,Influenza/RSV PCR Interp
No,No,not_reviewed,1513849,Acute Hepatitis Interpretation
No,No,not_reviewed,749080543,"Platelets, Clumped"
No,No,not_reviewed,1512188,Yeast
No,No,not_reviewed,1291847774,"Lactate, Arterial"
No,No,not_reviewed,1514488,Hepatitis B Core Antibody Total
No,No,not_reviewed,1513324,Other Cells
No,No,not_reviewed,186736446,Nbr Cells Counted On CSF Diff Shunt(EVD)
No,No,not_reviewed,186736419,Nucleated Count CSF Shunt (EVD)
No,No,(grouping)_urine,1513316,Protein/Creatinine Ratio Urine
No,No,not_reviewed,1513466,Cyclosporine Level
No,No,not_reviewed,749893868,MRSA by PCR Interpretation
No,No,not_reviewed,651859347,MRSA by PCR
No,No,not_reviewed,1513167,Pregnancy Screen Serum Qualitative
No,No,not_reviewed,186736434,Lymphocyte CSF Shunt (EVD)
No,No,not_reviewed,186736437,Macrophage CSF Shunt (EVD)
No,No,not_reviewed,1513902,Beta Human Chorionic Gonadotropin Quant
No,No,not_reviewed,749093124,Neutrophil CSF Shunt (EVD)
No,No,not_reviewed,1512870,Magnesium Level Urine Random
No,No,not_reviewed,1107018945,Clarity CSF Shunt (EVD)
No,No,not_reviewed,1107022010,Color CSF Shunt (EVD)
No,No,not_reviewed,1512690,Triiodothyronine
No,No,not_reviewed,1513260,Platelet Function ADP
No,No,not_reviewed,1513259,Platelet Function EPI
No,No,not_reviewed,1515154,%PARA
No,No,not_reviewed,618860942,Protein BF Type
No,No,not_reviewed,1514759,Protein Body Fluid
No,No,not_reviewed,1515156,%GAMMA
No,No,not_reviewed,1515159,%B1
No,No,not_reviewed,1515158,%B2
No,No,not_reviewed,1514857,Beta-1 Fraction
No,No,not_reviewed,1512567,TOTAL
No,No,not_reviewed,1514009,Gamma Globulin Fraction
No,No,not_reviewed,1514856,Beta-2 Fraction
No,No,not_reviewed,1515120,Alpha-1 Fraction
No,No,not_reviewed,1515163,%A1
No,No,not_reviewed,1515161,%ALB
No,No,not_reviewed,1515116,Alpha-2 Fraction
No,No,not_reviewed,1513299,Paraprotein Concentration
No,No,not_reviewed,1515162,%A2
No,No,not_reviewed,77877710,Albumin Fraction
No,No,not_reviewed,1512541,Total Protein
No,No,not_reviewed,1512183,Zinc Level
No,No,not_reviewed,1512723,SPEINTERP
No,No,not_reviewed,186736278,Number Cells Counted On CSF Diff Tube 1
No,No,not_reviewed,186736248,Nucleated Count CSF Tube 1
No,No,not_reviewed,1512246,Vitamin B1 Level Whole Blood
No,No,not_reviewed,186736251,Rbc Count CSF Tube 1
No,No,not_reviewed,1512623,TIME
No,No,not_reviewed,1512493,TV
No,No,not_reviewed,1513927,HLA Antibody Screen Result
No,No,not_reviewed,71791611,EBV DNA by PCR
No,No,not_reviewed,618861036,Acanthocyte
No,No,not_reviewed,1514321,Digoxin Level
No,No,not_reviewed,1512879,Legionella Antigen Urine Random
No,No,not_reviewed,306576311,ENA Screen with Reflex
No,No,not_reviewed,1514831,Baso Stippling
No,No,not_reviewed,606239218,Troponin POCT
No,No,not_reviewed,1513125,Promyelocyte
No,No,not_reviewed,3406398679,C. difficile by PCR
No,No,not_reviewed,651859007,Color CSF Tube 1
No,No,not_reviewed,1107018155,Clarity CSF Tube 1
No,No,not_reviewed,1514492,Copper Level
No,No,not_reviewed,1514020,Factor VIII (8) Level
No,No,not_reviewed,186736266,Lymphocyte CSF Tube 1
No,No,not_reviewed,1513691,Immunoglobulin IgG Level Total
No,No,not_reviewed,1514073,Phenytoin Free
No,No,not_reviewed,1515066,Acetaminophen Level
No,No,not_reviewed,1291844496,HIV-1 p24 Antigen Rapid Screen
No,No,not_reviewed,1291844878,HIV-1/2 Antibody Rapid Screen
No,No,not_reviewed,1512244,Vitamin B6 Level
No,No,not_reviewed,1291845546,HIV-1/2 Ag/Ab Rapid Screen Interp
No,No,not_reviewed,1514797,Mesothelial Body Fluid
No,No,not_reviewed,186736269,Macrophage CSF Tube 1
No,No,not_reviewed,1514800,Eosinophil Body Fluid
No,No,not_reviewed,186736407,Number Cells Counted On CSF Diff Tube 4
No,No,not_reviewed,186736376,Nucleated Count CSF Tube 4
No,No,not_reviewed,1514280,Dohle Bodies
No,No,not_reviewed,1514681,C4 Complement Level
No,No,not_reviewed,1514685,C3 Complement Level
No,No,not_reviewed,263946930,Hepatitis B Interpretation
No,No,not_reviewed,186736379,Rbc Count CSF Tube 4
No,No,not_reviewed,1514581,Ceruloplasmin Level
No,No,not_reviewed,1512274,Valproic Acid Level
No,No,(grouping)_fluid_body,1514765,Lactate Dehydrogenase Body Fluid
No,No,not_reviewed,618860930,LDH BF Type
No,No,not_reviewed,1512787,Eosinophil Smear
No,No,not_reviewed,1512720,Spherocyte
No,No,not_reviewed,1513391,Methotrexate Level
No,No,not_reviewed,1512264,EBV Viral Capsid Antigen IGG
No,No,not_reviewed,1514236,EBV Nuclear Antigen
No,No,not_reviewed,1512263,EBV Viral Capsid Antigen IGM
No,No,not_reviewed,1514227,EBV Nuclear Antigen Interpretation
No,No,not_reviewed,1512537,Trans Epi/HPF
No,No,not_reviewed,1512747,Sickle Cell
No,No,not_reviewed,1513782,Heparin Induced Thrombocytopenia Result
No,No,not_reviewed,1513783,HIT OD
No,No,not_reviewed,1513784,HIT Interpretation
No,No,not_reviewed,1513003,Rapamycin Level
No,No,not_reviewed,3525190835,SARS-CoV-2 by PCR
No,No,not_reviewed,1107018385,Clarity CSF Tube 4
No,No,not_reviewed,651859323,Color CSF Tube 4
No,Yes,inr,1513200,INR POCT
No,No,not_reviewed,186736394,Lymphocyte CSF Tube 4
No,No,not_reviewed,1514066,Triiodothyronine Free
No,No,not_reviewed,1514517,Cytomegalovirus Antibody IgG
Yes,Yes,chloride,665487142,Chloride - Anes
No,No,not_reviewed,1513674,Immunoglobulin IgM Level Total
No,No,not_reviewed,1514796,Other Cells Body Fluid
No,No,not_reviewed,1512492,Total Volume/24 Hrs
No,No,not_reviewed,618860922,Glucose BF Type
No,No,not_reviewed,1514769,Glucose Body Fluid
No,No,not_reviewed,1513432,Miscellaneous ARUP
No,No,not_reviewed,1513937,HLA Class I  Antibody Specificity
No,No,not_reviewed,1513695,Immunoglobulin IgA Level
No,No,not_reviewed,749092917,Neutrophil CSF Tube 1
No,No,(grouping)_urine,1512449,Creatinine Urine/24 hr
No,No,not_reviewed,71796866,Hepatitis C Viral RNA Quant  by  PCR
No,No,not_reviewed,1515076,Anticardiolipin Antibody IgM
No,No,not_reviewed,1515077,Anticardiolipin Antibody IgG
No,No,not_reviewed,1513895,HLA Class II  Antibody Specificity
No,No,not_reviewed,1514788,Albumin Level Body Fluid
No,No,not_reviewed,618860901,Albumin BF Type
No,No,not_reviewed,1514795,Other Cell ID Body Fluid
No,No,not_reviewed,1514515,Cytomegalovirus Antibody IgM
No,No,not_reviewed,1514585,Carcinoembryonic Antigen
No,No,not_reviewed,1513958,Granular Cast/LPF
No,No,not_reviewed,987171083,Neisseria gonorrhoeae RNA
No,No,not_reviewed,145295341,"Anti-Neutrophil Cyto Antibody, IGG"
No,No,not_reviewed,1514599,%CD4
No,No,not_reviewed,1514623,%CD3
No,No,not_reviewed,1515175,Absolute #CD4 Cells
No,No,not_reviewed,1515178,Absolute #CD3 Cells
No,No,not_reviewed,1512242,Vitamin C Level
No,No,not_reviewed,987170723,Chlamydia trachomatis RNA
No,No,not_reviewed,1514853,B2GP1 IGM
No,No,not_reviewed,1514854,B2GP1 IGG
No,No,not_reviewed,186736397,Macrophage CSF Tube 4
No,No,not_reviewed,1512687,T4
No,No,not_reviewed,192989039,HIV-1 RNA
No,No,not_reviewed,192989200,HIV-1 RNA Log Value
No,No,not_reviewed,465751851,NT-PRO B Natriuretic Peptide
No,No,not_reviewed,1651973439,"Occult Blood, Fecal Immunoassay"
No,No,(grouping)_venous_blood_gas,668023039,OR VEN BICARB
No,No,not_reviewed,668022897,OR VEN PH
No,No,not_reviewed,668022960,OR VEN PCO2
No,No,not_reviewed,651859063,OR VEN O2 SAT-meas
No,No,not_reviewed,668023059,OR VEN HGB
No,No,not_reviewed,907930159,OR Venous %O2 Hb
No,No,not_reviewed,668023045,OR VEN BE
No,No,not_reviewed,668023008,OR VEN PO2
No,No,not_reviewed,1513096,Prostate Specific Antigen
No,No,not_reviewed,665491354,"pH, Cord Ven-R"
No,No,not_reviewed,665486938,"pCO2, Cord Ven-R"
No,No,not_reviewed,665486974,"pO2, Cord Ven-R"
No,No,not_reviewed,665487010,"HCO3, Cord Ven-R"
No,No,not_reviewed,665487046,"Base Excess, Cord Ven-R"
No,No,(grouping)_urine,1514657,Calcium Oxalate Crystal/HPF
No,No,not_reviewed,1512792,Salicylate Level
No,No,not_reviewed,618861106,Macrocytic Ovalocyte
No,No,not_reviewed,1514021,Factor VII (7) Level
No,No,(grouping)_fluid_body,1514787,Amylase Body Fluid
