med_class,super_table_col_name,med_name,medication_id,med_name,med_name_generic,therapeutic_class,pharmacy_class,pharmacy_subclass,count_14,count_15,count_16,count_17,count_18,count_19,count_20,total
analgesics,NULL,"FENTANYL IV BOLUS FROM BAG 20 MCG/ML""""",600553,"FENTANYL IV BOLUS FROM BAG 20 MCG/ML""""",NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,18,60,81,153,153,7,0,472
analgesics,NULL,"MORPHINE PF DRIP (NICU) 0.05 AND 0.1 MG/ML""""",900144,"MORPHINE PF DRIP (NICU) 0.05 AND 0.1 MG/ML""""",NULL,NULL,NULL,NULL,0,20,111,20,190,74,24,439
analgesics,NULL,"MORPHINE PF DRIP (NICU) 0.4 MG/ML""""",900107,"MORPHINE PF DRIP (NICU) 0.4 MG/ML""""",NULL,NULL,NULL,NULL,0,13,141,22,75,79,99,429
analgesics,NULL,"FENTANYL CITRATE PF PCA 50 MCG/ML IV SOLN 50 ML""""",600897,"FENTANYL CITRATE PF PCA 50 MCG/ML IV SOLN 50 ML""""",fentanyl,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,0,0,0,0,305,77,382
analgesics,NULL,"FENTANYL IV BOLUS FROM BAG 50 MCG/ML""""",600899,"FENTANYL IV BOLUS FROM BAG 50 MCG/ML""""",NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,0,0,0,0,163,119,282
analgesics,NULL,FENTANYL DRIP (NICU),900108,FENTANYL DRIP (NICU),NULL,NULL,NULL,NULL,0,75,0,0,2,3,0,80
analgesics,NULL,"FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN""""",4083037,"FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN""""","Fentanyl Citrate Preservative Free (PF) Inj 100 MCG/2ML""""",Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,0,13,23,21,8,0,65
analgesics,NULL,HYDROMORPHONE INFUSION,400163,HYDROMORPHONE INFUSION,NULL,NULL,NULL,NULL,0,41,0,0,0,0,0,41
analgesics,NULL,"KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN""""",22473,"KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN""""",Ketorolac Tromethamine,Analgesics & Anesthetics,Anti-Rheumatic,Nonsteroidal Anti-inflammatory Agents (NSAIDs),0,0,1,10,0,0,0,11
analgesics,NULL,FENTANYL IV BOLUS FROM SYRINGE,600896,FENTANYL IV BOLUS FROM SYRINGE,NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,0,0,0,0,8,0,8
analgesics,NULL,MORPHINE IV BOLUS FROM BAG,600591,MORPHINE IV BOLUS FROM BAG,NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,0,1,1,3,0,2,7
analgesics,NULL,PROPOFOL IV BOLUS FROM BOTTLE,600634,PROPOFOL IV BOLUS FROM BOTTLE,NULL,Analgesics & Anesthetics,General Anesthetics,Anesthetics - Misc.,2,1,0,0,0,0,0,3
analgesics,NULL,"FENTANYL CITRATE 0.05 MG/ML IJ SOLN""""",3037,"FENTANYL CITRATE 0.05 MG/ML IJ SOLN""""",fentaNYL Citrate,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,1,2,0,0,0,0,0,3
analgesics,NULL,"IBUPROFEN LYSINE 10 MG/ML IV SOLN""""",76780,"IBUPROFEN LYSINE 10 MG/ML IV SOLN""""",Ibuprofen Lysine,Analgesics & Anesthetics,Anti-Rheumatic,Nonsteroidal Anti-inflammatory Agents (NSAIDs),0,0,0,0,0,3,0,3
analgesics,NULL,"IBUPROFEN 5 MG/ML NS (NICU) IV SYRINGE""""",600455,"IBUPROFEN 5 MG/ML NS (NICU) IV SYRINGE""""",NULL,Analgesics & Anesthetics,Anti-Rheumatic,Nonsteroidal Anti-inflammatory Agents (NSAIDs),0,0,0,0,0,3,0,3
analgesics,NULL,"MORPHINE 250MG/NS 250ML INFUSION ADVANTAGE""""",600006,"MORPHINE 250MG/NS 250ML INFUSION ADVANTAGE""""",NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,1,0,0,0,0,0,0,1
analgesics,NULL,"MORPHINE SULFATE 25 MG/ML IV SOLN""""",27392,"MORPHINE SULFATE 25 MG/ML IV SOLN""""",Morphine Sulfate,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,1,0,0,0,0,0,0,1
analgesics,NULL,PEDIATRIC FENTANYL IV BOLUS FROM BAG,600678,PEDIATRIC FENTANYL IV BOLUS FROM BAG,NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,1,0,0,0,0,0,1
analgesics,NULL,"KETAMINE HCL 50 MG/ML IJ SOLN""""",4238,"KETAMINE HCL 50 MG/ML IJ SOLN""""",Ketamine HCl,Analgesics & Anesthetics,General Anesthetics,Anesthetics - Misc.,0,0,0,1,0,0,0,1
analgesics,NULL,"FENTANYL 200MCG + 0.1% BUPIVACAINE/100ML NS EPIDURAL""""",600403,"FENTANYL 200MCG + 0.1% BUPIVACAINE/100ML NS EPIDURAL""""",NULL,Analgesics & Anesthetics,Analgesics-Narcotic,Opioid Agonists,0,0,0,1,0,0,0,1
analgesics,NULL,"KETOROLAC TROMETHAMINE 15 MG/ML IJ SOLN""""",22472,"KETOROLAC TROMETHAMINE 15 MG/ML IJ SOLN""""",Ketorolac Tromethamine,Analgesics & Anesthetics,Anti-Rheumatic,Nonsteroidal Anti-inflammatory Agents (NSAIDs),0,0,0,0,1,0,0,1
anticoagulants,NULL,"HEPARIN (PORCINE) 50 UNIT/ML 500 ML IV SOLN""""",15848,"HEPARIN (PORCINE) 50 UNIT/ML 500 ML IV SOLN""""",Heparin (Porcine) in NaCl,Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,0,21852,26447,26274,29835,8884,0,113292
anticoagulants,NULL,"HEPARIN (PORCINE) 50 UNIT/ML 500 ML IV SOLN""""",140422,"HEPARIN (PORCINE) 50 UNIT/ML 500 ML IV SOLN""""",Heparin (Porcine) in NaCl,Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,0,0,0,0,0,21964,14920,36884
anticoagulants,NULL,"HEPARIN (PORCINE) IN D5W 50-5 UNIT/ML-% IV SOLN""""",15845,"HEPARIN (PORCINE) IN D5W 50-5 UNIT/ML-% IV SOLN""""",Heparin Sod (Porcine) in D5W,Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,24256,4364,0,0,0,0,0,28620
anticoagulants,NULL,"HEPARIN LOCK FLUSH 10 UNIT/ML IV SOLN""""",37994,"HEPARIN LOCK FLUSH 10 UNIT/ML IV SOLN""""",Heparin Lock Flush,Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,8084,58,0,0,0,0,11,8153
anticoagulants,NULL,ARGATROBAN INFUSION,400088,ARGATROBAN INFUSION,NULL,NULL,NULL,NULL,438,640,268,668,567,601,344,3526
anticoagulants,NULL,"HEPARIN IN NS 50-0.45 UNIT/ML-% IJ SOLN""""",600015848,"HEPARIN IN NS 50-0.45 UNIT/ML-% IJ SOLN""""","Heparin Sod (Porcine) in NaCl IV Soln 25000 Unit/500ML-0.45%""""",Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,0,0,0,55,811,939,329,2134
anticoagulants,NULL,ALTEPLASE 100 MG IV SOLR,9002,ALTEPLASE 100 MG IV SOLR,Alteplase,Hematological Agents,Misc. Hematological,Thrombolytic Enzymes,114,105,132,144,184,232,135,1046
anticoagulants,NULL,"TIROFIBAN HCL IN NACL 12.5-0.9 MG/250ML-% IV SOLN""""",132822,"TIROFIBAN HCL IN NACL 12.5-0.9 MG/250ML-% IV SOLN""""",Tirofiban HCl in NaCl,Hematological Agents,Misc. Hematological,Platelet Aggregation Inhibitors,0,0,47,237,217,270,106,877
anticoagulants,NULL,"TIROFIBAN HCL IN NACL 25-0.9 MG/500ML-% IV SOLN""""",23050,"TIROFIBAN HCL IN NACL 25-0.9 MG/500ML-% IV SOLN""""",Tirofiban HCl in NaCl,Hematological Agents,Misc. Hematological,Platelet Aggregation Inhibitors,112,330,262,0,0,0,0,704
anticoagulants,NULL,"HEPARIN 25000 UNITS/500 ML NS INFUSION""""",900026,"HEPARIN 25000 UNITS/500 ML NS INFUSION""""",NULL,NULL,NULL,NULL,91,80,55,53,23,1,0,303
anticoagulants,NULL,"ARGATROBAN IN SODIUM CHLORIDE 250-0.9 MG/250ML-% IV SOLN""""",127492,"ARGATROBAN IN SODIUM CHLORIDE 250-0.9 MG/250ML-% IV SOLN""""",Argatroban in Sodium Chloride,Hematological Agents,Anticoagulants,Thrombin Inhibitors,0,0,6,13,0,0,0,19
anticoagulants,NULL,"HEPARIN (PORCINE) IN NACL 1000-0.9 UT/500ML-% IV SOLN""""",143153,"HEPARIN (PORCINE) IN NACL 1000-0.9 UT/500ML-% IV SOLN""""",Heparin (Porcine) in NaCl,Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,0,0,0,0,0,2,11,13
anticoagulants,NULL,"HEPARIN (PORCINE) LOCK FLUSH 100 UNIT/ML IV SOLN""""",17362,"HEPARIN (PORCINE) LOCK FLUSH 100 UNIT/ML IV SOLN""""",Heparin Lock Flush,Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,0,9,0,0,0,0,0,9
anticoagulants,NULL,"HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN""""",10176,"HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN""""",Heparin Sodium (Porcine),Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,0,3,4,2,0,0,0,9
anticoagulants,NULL,"HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN""""",10181,"HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN""""",Heparin Sodium (Porcine),Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,1,0,0,1,0,1,0,3
anticoagulants,NULL,"HEPARIN FLUSH 1 UNIT/ML 0.45% NS (NICU) 6ML""""",600328,"HEPARIN FLUSH 1 UNIT/ML 0.45% NS (NICU) 6ML""""",NULL,Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,0,0,0,3,0,0,0,3
anticoagulants,NULL,"ARGATROBAN 250 MG/250ML IV SOLN""""",600752,"ARGATROBAN 250 MG/250ML IV SOLN""""",                                                    5ML,Hematological Agents,Anticoagulants,Thrombin Inhibitors,0,0,2,0,0,0,0,2
anticoagulants,NULL,"HEPARIN 10000 UNITS/500 ML NS IC IR""""",900158,"HEPARIN 10000 UNITS/500 ML NS IC IR""""",NULL,Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,0,0,0,1,1,0,0,2
anticoagulants,NULL,"HEPARIN LOCK FLUSH 100 UNIT/ML IV SOLN""""",28393,"HEPARIN LOCK FLUSH 100 UNIT/ML IV SOLN""""",Heparin Lock Flush,Hematological Agents,Anticoagulants,Heparins And Heparinoid-Like Agents,0,0,0,1,0,0,0,1
anticoagulants,NULL,"ARGATROBAN 250 MG/2.5ML IV SOLN""""",28947,"ARGATROBAN 250 MG/2.5ML IV SOLN""""",Argatroban,Hematological Agents,Anticoagulants,Thrombin Inhibitors,0,0,0,0,1,0,0,1
anti-infective,penicillins,"PIPERACIL-TAZO 4.5 G/100 ML D5W MB PLUS""""",600035,"PIPERACIL-TAZO 4.5 G/100 ML D5W MB PLUS""""",NULL,Anti-Infective Agents,Penicillins,Penicillin Combinations,35150,32855,26619,5501,0,27,3711,103863
anti-infective,glycopeptide,"VANCOMYCIN HCL IN DEXTROSE 1000 MG/200ML IV SOLN""""",92895,"VANCOMYCIN HCL IN DEXTROSE 1000 MG/200ML IV SOLN""""",Vancomycin HCl-Dextrose,Anti-Infective Agents,Misc. Antiinfectives,Glycopeptides,11652,12596,14781,15965,16379,14003,2139,87515
anti-infective,metronidazole,"METRONIDAZOLE IN NACL 5-0.79 MG/ML-% IV SOLN""""",5018,"METRONIDAZOLE IN NACL 5-0.79 MG/ML-% IV SOLN""""",metroNIDAZOLE in NaCl,Anti-Infective Agents,Misc. Antiinfectives,Anti-infective Agents - Misc.,8977,11889,1277,0,4698,32641,12052,71534
anti-infective,penicillins,"PIPERACIL-TAZO 4.5 G/NS 100ML MB PLUS""""",600365,"PIPERACIL-TAZO 4.5 G/NS 100ML MB PLUS""""",NULL,Anti-Infective Agents,Penicillins,Penicillin Combinations,514,315,2389,1989,9758,38876,10890,64731
anti-infective,glycopeptide,VANCOMYCIN IV >1.5 G IN NS OR D5W,900067,VANCOMYCIN IV >1.5 G IN NS OR D5W,NULL,NULL,NULL,NULL,10382,10633,4880,8808,12649,12976,3234,63562
anti-infective,glycopeptide,VANCOMYCIN IV >1 G - < 1.5 G IN D5W,900066,VANCOMYCIN IV >1 G - < 1.5 G IN D5W,NULL,NULL,NULL,NULL,6520,7946,8952,9892,10552,9705,3414,56981
anti-infective,cephalosporins,"CEFAZOLIN 1GM/D5W 50ML MB PLUS""""",600020,"CEFAZOLIN 1GM/D5W 50ML MB PLUS""""",NULL,Anti-Infective Agents,Cephalosporins,Cephalosporins - 1st Generation,11555,14265,14663,13547,8,2,2,54042
anti-infective,cephalosporins,"CEFAZOLIN 2 G/D5W 100 ML IVPB""""",600789,"CEFAZOLIN 2 G/D5W 100 ML IVPB""""",NULL,Anti-Infective Agents,Cephalosporins,Cephalosporins - 1st Generation,0,0,399,268,16499,24764,10254,52184
anti-infective,lincosamides,"CLINDAMYCIN PHOSPHATE IN D5W 900 MG/50ML IV SOLN""""",9627,"CLINDAMYCIN PHOSPHATE IN D5W 900 MG/50ML IV SOLN""""",Clindamycin Phosphate in D5W,Anti-Infective Agents,Misc. Antiinfectives,Lincosamides,10059,8206,7803,7818,5674,5148,1494,46202
anti-infective,cephalosporins,"CEFEPIME 2 G/D5W 50 ML MB PLUS""""",600251,"CEFEPIME 2 G/D5W 50 ML MB PLUS""""",NULL,Anti-Infective Agents,Cephalosporins,Cephalosporins - 4th Generation,6045,10944,14108,13124,52,32,0,44305
anti-infective,metronidazole,"METRONIDAZOLE IN NACL 500-0.79 MG/100ML-% IV SOLN""""",10593,"METRONIDAZOLE IN NACL 500-0.79 MG/100ML-% IV SOLN""""",metroNIDAZOLE in NaCl,Anti-Infective Agents,Misc. Antiinfectives,Anti-infective Agents - Misc.,0,0,13289,15397,14936,0,0,43622
anti-infective,cephalosporins,"CEFTRIAXONE 1 G/D5W 100 ML MB PLUS""""",600014,"CEFTRIAXONE 1 G/D5W 100 ML MB PLUS""""",NULL,Anti-Infective Agents,Cephalosporins,Cephalosporins - 3rd Generation,8999,10215,10199,10899,0,3,0,40315
anti-infective,cephalosporins,"CEFEPIME 2 G/100 ML NS MB PLUS""""",600881,"CEFEPIME 2 G/100 ML NS MB PLUS""""",NULL,Anti-Infective Agents,Cephalosporins,Cephalosporins - 4th Generation,0,0,0,3646,2267,27855,5604,39372
anti-infective,cephalosporins,CEFAZOLIN IVPB > 1 G,410006,CEFAZOLIN IVPB > 1 G,NULL,NULL,NULL,NULL,6856,8911,9081,9634,2148,1565,465,38660
anti-infective,penicillins,"PIPERACIL-TAZ 3.375 G/D5W 50ML MB PLUS""""",600034,"PIPERACIL-TAZ 3.375 G/D5W 50ML MB PLUS""""",NULL,Anti-Infective Agents,Penicillins,Penicillin Combinations,8725,7529,8928,12169,554,0,0,37905
anti-infective,penicillins,"AMPICILLIN 2 G/NS 100ML MB PLUS""""",600008,"AMPICILLIN 2 G/NS 100ML MB PLUS""""",NULL,Anti-Infective Agents,Penicillins,Aminopenicillins,4220,5183,4821,5938,6516,8534,2671,37883
anti-infective,lincosamides,"CLINDAMYCIN PHOSPHATE IN D5W 600 MG/50ML IV SOLN""""",9626,"CLINDAMYCIN PHOSPHATE IN D5W 600 MG/50ML IV SOLN""""",Clindamycin Phosphate in D5W,Anti-Infective Agents,Misc. Antiinfectives,Lincosamides,5061,5502,5237,6498,5435,5677,1996,35406
anti-infective,fluoroquinolones,"CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN""""",91238,"CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN""""",Ciprofloxacin in D5W,Anti-Infective Agents,Fluoroquinolones,Fluoroquinolones,5229,4885,4998,6236,5352,3885,1635,32220
anti-infective,glycopeptide,VANCOMYCIN 1.5 G IN NS 250 ML PREMIX,600889,VANCOMYCIN 1.5 G IN NS 250 ML PREMIX,NULL,Anti-Infective Agents,Misc. Antiinfectives,Anti-infective Agents - Misc.,0,0,0,1180,12500,12554,2094,28328
anti-infective,penicillins,"AMPICILLIN-SULB 3 G/NS 100ML MB PLUS""""",600016,"AMPICILLIN-SULB 3 G/NS 100ML MB PLUS""""",NULL,Anti-Infective Agents,Penicillins,Penicillin Combinations,3466,5849,6348,7632,7,0,0,23302
anti-infective,macrolide antibiotics,"AZITHROMYCIN 500MG/D5W 250ML MB PLUS""""",600031,"AZITHROMYCIN 500MG/D5W 250ML MB PLUS""""",NULL,Anti-Infective Agents,Macrolide Antibiotics,Azithromycin,2160,2257,2664,3941,3776,4641,2577,22016
anti-infective,penicillins,"PIPERACIL-TAZO 4.5 G/NS 50 ML MB PLUS""""",600856,"PIPERACIL-TAZO 4.5 G/NS 50 ML MB PLUS""""",NULL,Anti-Infective Agents,Penicillins,Penicillin Combinations,0,0,0,351,21540,0,0,21891
anti-infective,cephalosporins,CEFAZOLIN 1G IN 50ML DEXTROSE (ISO-OSMOTIC) PREMIXED SOLUTION,139272,CEFAZOLIN 1G IN 50ML DEXTROSE (ISO-OSMOTIC) PREMIXED SOLUTION,ceFAZolin Sodium-Dextrose,Anti-Infective Agents,Cephalosporins,Cephalosporins - 1st Generation,0,0,0,0,7601,9545,4636,21782
anti-infective,penicillins,"PIPERACIL-TAZO 2.25 G/D5W 50ML MB PLUS""""",600033,"PIPERACIL-TAZO 2.25 G/D5W 50ML MB PLUS""""",NULL,Anti-Infective Agents,Penicillins,Penicillin Combinations,4662,4204,5435,6729,272,0,0,21302
anti-infective,penicillins,"AMPICILLIN 1 G/NS 100ML MB PLUS""""",600007,"AMPICILLIN 1 G/NS 100ML MB PLUS""""",NULL,Anti-Infective Agents,Penicillins,Aminopenicillins,2811,2862,3077,3458,3157,2865,649,18879
anti-infective,penicillins,"AMPICILLIN-SULB 3 G/D5W 100ML MB PLUS""""",600885,"AMPICILLIN-SULB 3 G/D5W 100ML MB PLUS""""",NULL,Anti-Infective Agents,Penicillins,Penicillin Combinations,0,0,0,1641,11688,2804,634,16767
anti-infective,fluoroquinolones,"LEVOFLOXACIN IN D5W 750 MG/150ML IV SOLN""""",107149,"LEVOFLOXACIN IN D5W 750 MG/150ML IV SOLN""""",levoFLOXacin in D5W,Anti-Infective Agents,Fluoroquinolones,Fluoroquinolones,3654,2634,2487,2613,2815,1845,512,16560
anti-infective,penicillins,"PIPERACIL-TAZO 4.5 G/50 ML D5W MB PLUS""""",600855,"PIPERACIL-TAZO 4.5 G/50 ML D5W MB PLUS""""",NULL,Anti-Infective Agents,Penicillins,Penicillin Combinations,0,0,0,15382,10,0,30,15422
anti-infective,glycopeptide,VANCOMYCIN IV < 1 G,900065,VANCOMYCIN IV < 1 G,NULL,NULL,NULL,NULL,1981,2416,3017,3584,3697,8,43,14746
anti-infective,cephalosporins,"CEFTRIAXONE 2 G/D5W 100 ML MB PLUS""""",600043,"CEFTRIAXONE 2 G/D5W 100 ML MB PLUS""""",NULL,Anti-Infective Agents,Cephalosporins,Cephalosporins - 3rd Generation,2767,3826,3584,4267,19,11,0,14474
anti-infective,cephalosporins,"CEFEPIME 1 G/D5W 50 ML MB PLUS""""",600039,"CEFEPIME 1 G/D5W 50 ML MB PLUS""""",NULL,Anti-Infective Agents,Cephalosporins,Cephalosporins - 4th Generation,1403,3251,3674,3503,1547,0,0,13378
anti-infective,glycopeptide,VANCOMYCIN IV  >= 2 G IN D5W,900068,VANCOMYCIN IV  >= 2 G IN D5W,NULL,NULL,NULL,NULL,3006,3614,3957,2083,5,0,8,12673
anti-infective,antiviral,ACYCLOVIR IVPB PATIENT 35 - 70 KG,400070,ACYCLOVIR IVPB PATIENT 35 - 70 KG,NULL,NULL,NULL,NULL,1169,2016,1614,1961,2138,1643,863,11404
anti-infective,carbapenems,"MEROPENEM 1 G/NS 100 ML MB PLUS""""",600040,"MEROPENEM 1 G/NS 100 ML MB PLUS""""",NULL,Anti-Infective Agents,Misc. Antiinfectives,Carbapenems,2309,1965,0,0,2974,2921,543,10712
anti-infective,carbapenems,MEROPENEM IVPB,400048,MEROPENEM IVPB,NULL,NULL,NULL,NULL,523,1086,2659,4117,637,1196,383,10601
anti-infective,glycopeptide,"VANCOMYCIN IV 1375-1500 MG/D5W 500 ML""""",900203,"VANCOMYCIN IV 1375-1500 MG/D5W 500 ML""""",NULL,NULL,NULL,NULL,229,1387,8189,174,0,0,0,9979
anti-infective,cephalosporins,"CEFEPIME 1 G/100 ML NS MB PLUS""""",600880,"CEFEPIME 1 G/100 ML NS MB PLUS""""",NULL,Anti-Infective Agents,Cephalosporins,Cephalosporins - 4th Generation,0,0,0,1142,1755,5043,1005,8945
anti-infective,glycopeptide,VANCOMYCIN 1.5 G IN D5W 500 ML PREMIX,600845,VANCOMYCIN 1.5 G IN D5W 500 ML PREMIX,NULL,Anti-Infective Agents,Misc. Antiinfectives,Anti-infective Agents - Misc.,0,0,0,8892,3,0,0,8895
anti-infective,antifungals,ANIDULAFUNGIN IVPB,900568,ANIDULAFUNGIN IVPB,NULL,NULL,NULL,NULL,728,989,1274,1370,1477,1603,702,8143
anti-infective,antifungals,"FLUCONAZOLE IN SODIUM CHLORIDE 400-0.9 MG/200ML-% IV SOLN""""",10050,"FLUCONAZOLE IN SODIUM CHLORIDE 400-0.9 MG/200ML-% IV SOLN""""",Fluconazole in Sodium Chloride,Anti-Infective Agents,Antifungals,Imidazole-Related Antifungals,1340,1375,1229,745,945,1835,470,7939
anti-infective,penicillins,"PIPERACILLIN-TAZOBACTAM IN DEX 4-0.5 GM/100ML IV SOLN FROZEN""""",107150,"PIPERACILLIN-TAZOBACTAM IN DEX 4-0.5 GM/100ML IV SOLN FROZEN""""",Piperacillin-Tazobactam in Dex,Anti-Infective Agents,Penicillins,Penicillin Combinations,0,0,0,4568,3317,0,0,7885
anti-infective,aminoglycosides,GENTAMICIN STANDARD DOSING IVPB,400285,GENTAMICIN STANDARD DOSING IVPB,NULL,NULL,NULL,NULL,1509,1676,1335,1450,1062,413,102,7547
anti-infective,cephalosporins,CEFAZOLIN 1G IN 50ML DEXTROSE (ISO-OSMOTIC) PREMIXED SOLUTION,9444,CEFAZOLIN 1G IN 50ML DEXTROSE (ISO-OSMOTIC) PREMIXED SOLUTION,CeFAZolin in D5W,Anti-Infective Agents,Cephalosporins,Cephalosporins - 1st Generation,0,0,0,2910,4151,0,0,7061
