import,super_table_col_name,component_id,component,proc_cat_name,proc_desc
Yes,lipase,50844,"Lipase, Ascites",Ascites,Chemistry
No,Not Import,50845,"Miscellaneous, Ascites",Ascites,Chemistry
Yes,osmolarity,50846,"Osmolality, Ascites",Ascites,Chemistry
Yes,potassium,50847,"Potassium, Ascites",Ascites,Chemistry
Yes,sodium,50848,"Sodium, Ascites",Ascites,Chemistry
Yes,protein,50849,"Total Protein, Ascites",Ascites,Chemistry
No,Not Import,50850,"Triglycerides, Ascites",Ascites,Chemistry
Yes,blood_urea_nitrogen_(bun),50851,"Urea Nitrogen, Ascites",Ascites,Chemistry
Yes,hemoglobin_a1c,50852,% Hemoglobin A1c,Blood,Chemistry
No,Not Import,50853,25-OH Vitamin D,Blood,Chemistry
No,Not Import,50854,Absolute A1c,Blood,Chemistry
Yes,hemoglobin,50855,Absolute Hemoglobin,Blood,Chemistry
No,Not Import,50856,Acetaminophen,Blood,Chemistry
No,Not Import,50857,Acetone,Blood,Chemistry
No,Not Import,50858,Acid Phosphatase,Blood,Chemistry
No,Not Import,50859,"Acid Phosphatase, Non-Prostatic",Blood,Chemistry
No,Not Import,50860,"AFP, Maternal Screen",Blood,Chemistry
Yes,alanine_aminotransferase_(alt),50861,Alanine Aminotransferase (ALT),Blood,Chemistry
Yes,albumin,50862,Albumin,Blood,Chemistry
Yes,alkaline_phosphatase,50863,Alkaline Phosphatase,Blood,Chemistry
No,Not Import,50864,Alpha-Fetoprotein,Blood,Chemistry
No,Not Import,50865,Amikacin,Blood,Chemistry
Yes,ammonia,50866,Ammonia,Blood,Chemistry
Yes,amylase,50867,Amylase,Blood,Chemistry
Yes,anion_gap,50868,Anion Gap,Blood,Chemistry
No,Not Import,50869,Anti-DGP (IgA/IgG),Blood,Chemistry
No,Not Import,50870,"Anti-Gliadin Antibody, IgA",Blood,Chemistry
No,Not Import,50871,Anti-Mitochondrial Antibody,Blood,Chemistry
No,Not Import,50872,Anti-Neutrophil Cytoplasmic Antibody,Blood,Chemistry
No,Not Import,50873,Anti-Nuclear Antibody,Blood,Chemistry
No,Not Import,50874,"Anti-Nuclear Antibody, Titer",Blood,Chemistry
No,Not Import,50875,Anti-Parietal Cell Antibody,Blood,Chemistry
No,Not Import,50876,Anti-Smooth Muscle Antibody,Blood,Chemistry
No,Not Import,50877,Anti-Thyroglobulin Antibodies,Blood,Chemistry
Yes,aspartate_aminotransferase_(ast),50878,Asparate Aminotransferase (AST),Blood,Chemistry
No,Not Import,50879,Barbiturate Screen,Blood,Chemistry
No,Not Import,50880,Benzodiazepine Screen,Blood,Chemistry
No,Not Import,50881,Beta-2 Microglobulin,Blood,Chemistry
Yes,bicarb_(hco3),50882,Bicarbonate,Blood,Chemistry
Yes,bilirubin_direct,50883,"Bilirubin, Direct",Blood,Chemistry
No,Not Import,50884,"Bilirubin, Indirect",Blood,Chemistry
Yes,bilirubin_total,50885,"Bilirubin, Total",Blood,Chemistry
No,Not Import,50886,Blood Culture Hold,Blood,Chemistry
No,Not Import,50887,Blue Top Hold,Blood,Chemistry
No,Not Import,50888,Blue Top Hold Frozen,Blood,Chemistry
Yes,crp_high_sens,50889,C-Reactive Protein,Blood,Chemistry
No,Not Import,50890,C3,Blood,Chemistry
No,Not Import,50891,C4,Blood,Chemistry
No,Not Import,50892,CA-125,Blood,Chemistry
Yes,calcium,50893,"Calcium, Total",Blood,Chemistry
No,Not Import,50894,Calculated Free Testosterone,Blood,Chemistry
No,Not Import,50895,Calculated TBG,Blood,Chemistry
No,Not Import,50896,Calculated Thyroxine (T4) Index,Blood,Chemistry
No,Not Import,50897,Call,Blood,Chemistry
No,Not Import,50898,Cancer Antigen 27.29,Blood,Chemistry
No,Not Import,50899,Carbamazepine,Blood,Chemistry
No,Not Import,50900,Carcinoembyronic Antigen (CEA),Blood,Chemistry
No,Not Import,50901,Centromere,Blood,Chemistry
Yes,chloride,50902,Chloride,Blood,Chemistry
No,Not Import,50903,Cholesterol Ratio (Total/HDL),Blood,Chemistry
No,Not Import,50904,"Cholesterol, HDL",Blood,Chemistry
No,Not Import,50905,"Cholesterol, LDL, Calculated",Blood,Chemistry
No,Not Import,50906,"Cholesterol, LDL, Measured",Blood,Chemistry
No,Not Import,50907,"Cholesterol, Total",Blood,Chemistry
No,Not Import,50908,CK-MB Index,Blood,Chemistry
No,Not Import,50909,Cortisol,Blood,Chemistry
No,Not Import,50910,Creatine Kinase (CK),Blood,Chemistry
No,Not Import,50911,"Creatine Kinase, MB Isoenzyme",Blood,Chemistry
Yes,creatinine,50912,Creatinine,Blood,Chemistry
No,Not Import,50913,Cryoglobulin,Blood,Chemistry
No,Not Import,50914,Cyclosporin,Blood,Chemistry
Yes,d_dimer,50915,D-Dimer,Blood,Chemistry
No,Not Import,50916,DHEA-Sulfate,Blood,Chemistry
No,Not Import,50917,Digoxin,Blood,Chemistry
No,Not Import,50918,Double Stranded DNA,Blood,Chemistry
No,Not Import,50919,EDTA Hold,Blood,Chemistry
Yes,gfr,50920,Estimated GFR (MDRD equation),Blood,Chemistry
No,Not Import,50921,Estradiol,Blood,Chemistry
No,Not Import,50922,Ethanol,Blood,Chemistry
No,Not Import,50923,Fax,Blood,Chemistry
No,Not Import,50924,Ferritin,Blood,Chemistry
No,Not Import,50925,Folate,Blood,Chemistry
No,Not Import,50926,Follicle Stimulating Hormone,Blood,Chemistry
No,Not Import,50927,Gamma Glutamyltransferase,Blood,Chemistry
No,Not Import,50928,Gastrin,Blood,Chemistry
No,Not Import,50929,Gentamicin,Blood,Chemistry
No,Not Import,50930,Globulin,Blood,Chemistry
Yes,glucose,50931,Glucose,Blood,Chemistry
No,Not Import,50932,Gray Top Hold (plasma),Blood,Chemistry
No,Not Import,50933,Green Top Hold (plasma),Blood,Chemistry
No,Not Import,50934,H,Blood,Chemistry
Yes,haptoglobin,50935,Haptoglobin,Blood,Chemistry
No,Not Import,50936,"HCG, Maternal Screen",Blood,Chemistry
No,Not Import,50937,Hepatitis A Virus Antibody,Blood,Chemistry
No,Not Import,50938,Hepatitis A Virus IgM Antibody,Blood,Chemistry
No,Not Import,50939,"Hepatitis B Core Antibody, IgM",Blood,Chemistry
No,Not Import,50940,Hepatitis B Surface Antibody,Blood,Chemistry
No,Not Import,50941,Hepatitis B Surface Antigen,Blood,Chemistry
No,Not Import,50942,Hepatitis B Virus Core Antibody,Blood,Chemistry
No,Not Import,50943,Hepatitis C Virus Antibody,Blood,Chemistry
No,Not Import,50945,Homocysteine,Blood,Chemistry
No,Not Import,50946,Human Chorionic Gonadotropin,Blood,Chemistry
No,Not Import,50947,I,Blood,Chemistry
No,Not Import,50948,Immunofixation,Blood,Chemistry
No,Not Import,50949,Immunoglobulin A,Blood,Chemistry
No,Not Import,50950,Immunoglobulin G,Blood,Chemistry
No,Not Import,50951,Immunoglobulin M,Blood,Chemistry
No,Not Import,50952,Iron,Blood,Chemistry
No,Not Import,50953,"Iron Binding Capacity, Total",Blood,Chemistry
Yes,lactate_dehydrogenase,50954,Lactate Dehydrogenase (LD),Blood,Chemistry
No,Not Import,50955,Light Green Top Hold,Blood,Chemistry
Yes,lipase,50956,Lipase,Blood,Chemistry
No,Not Import,50957,Lithium,Blood,Chemistry
No,Not Import,50958,Luteinizing Hormone,Blood,Chemistry
No,Not Import,50959,Macro Prolactin,Blood,Chemistry
Yes,magnesium,50960,Magnesium,Blood,Chemistry
No,Not Import,50961,Methotrexate,Blood,Chemistry
No,Not Import,50962,N-Acetylprocainamide (NAPA),Blood,Chemistry
Yes,b-type_natriuretic_peptide_(bnp),50963,NTproBNP,Blood,Chemistry
Yes,osmolarity,50964,"Osmolality, Measured",Blood,Chemistry
Yes,parathyroid_level,50965,Parathyroid Hormone,Blood,Chemistry
No,Not Import,50966,Phenobarbital,Blood,Chemistry
No,Not Import,50967,Phenytoin,Blood,Chemistry
No,Not Import,50968,"Phenytoin, Free",Blood,Chemistry
No,Not Import,50969,"Phenytoin, Percent Free",Blood,Chemistry
Yes,phosphorus,50970,Phosphate,Blood,Chemistry
Yes,potassium,50971,Potassium,Blood,Chemistry
No,Not Import,50972,Procainamide,Blood,Chemistry
No,Not Import,50973,Prolactin,Blood,Chemistry
No,Not Import,50974,Prostate Specific Antigen,Blood,Chemistry
No,Not Import,50975,Protein Electrophoresis,Blood,Chemistry
Yes,protein,50976,"Protein, Total",Blood,Chemistry
No,Not Import,50977,Quinidine,Blood,Chemistry
No,Not Import,50978,Rapamycin,Blood,Chemistry
No,Not Import,50979,Red Top Hold,Blood,Chemistry
No,Not Import,50980,Rheumatoid Factor,Blood,Chemistry
No,Not Import,50981,Salicylate,Blood,Chemistry
No,Not Import,50982,Sex Hormone Binding Globulin,Blood,Chemistry
Yes,sodium,50983,Sodium,Blood,Chemistry
No,Not Import,50984,Stat,Blood,Chemistry
No,Not Import,50985,Study Tubes,Blood,Chemistry
No,Not Import,50986,tacroFK,Blood,Chemistry
No,Not Import,50988,Testosterone,Blood,Chemistry
No,Not Import,50989,"Testosterone, Free",Blood,Chemistry
No,Not Import,50990,Theophylline,Blood,Chemistry
No,Not Import,50991,Thyroglobulin,Blood,Chemistry
No,Not Import,50992,Thyroid Peroxidase Antibodies,Blood,Chemistry
Yes,thyroid_stimulating_hormone_(tsh),50993,Thyroid Stimulating Hormone,Blood,Chemistry
No,Not Import,50994,Thyroxine (T4),Blood,Chemistry
No,Not Import,50995,"Thyroxine (T4), Free",Blood,Chemistry
No,Not Import,50996,"Tissue Transglutaminase Ab, IgA",Blood,Chemistry
No,Not Import,50997,Tobramycin,Blood,Chemistry
Yes,transferrin,50998,Transferrin,Blood,Chemistry
No,Not Import,50999,Tricyclic Antidepressant Screen,Blood,Chemistry
No,Not Import,51000,Triglycerides,Blood,Chemistry
No,Not Import,51001,Triiodothyronine (T3),Blood,Chemistry
Yes,troponin,51002,Troponin I,Blood,Chemistry
Yes,troponin,51003,Troponin T,Blood,Chemistry
No,Not Import,51004,"UE3, Maternal Screen",Blood,Chemistry
No,Not Import,51005,Uptake Ratio,Blood,Chemistry
Yes,blood_urea_nitrogen_(bun),51006,Urea Nitrogen,Blood,Chemistry
No,Not Import,51007,Uric Acid,Blood,Chemistry
No,Not Import,51008,Valproic Acid,Blood,Chemistry
No,Not Import,51009,Vancomycin,Blood,Chemistry
No,Not Import,51010,Vitamin B12,Blood,Chemistry
Yes,albumin,51019,"Albumin, Joint Fluid",Joint Fluid,Chemistry
Yes,amylase,51020,"Amylase, Joint Fluid",Joint Fluid,Chemistry
Yes,creatinine,51021,"Creatinine, Joint Fluid",Joint Fluid,Chemistry
Yes,glucose,51022,"Glucose, Joint Fluid",Joint Fluid,Chemistry
Yes,lactate_dehydrogenase,51023,"LD, Joint Fluid",Joint Fluid,Chemistry
Yes,protein,51024,"Total Protein, Joint Fluid",Joint Fluid,Chemistry
Yes,albumin,51025,"Albumin, Body Fluid",Other Body Fluid,Chemistry
Yes,amylase,51026,"Amylase, Body Fluid",Other Body Fluid,Chemistry
Yes,bicarb_(hco3),51027,"Bicarbonate, Other Fluid",Other Body Fluid,Chemistry
Yes,bilirubin_total,51028,"Bilirubin, Total, Body Fluid",Other Body Fluid,Chemistry
Yes,calcium,51029,"Calcium, Body Fluid",Other Body Fluid,Chemistry
Yes,chloride,51030,"Chloride, Body Fluid",Other Body Fluid,Chemistry
No,Not Import,51031,"Cholesterol, Body Fluid",Other Body Fluid,Chemistry
Yes,creatinine,51032,"Creatinine, Body Fluid",Other Body Fluid,Chemistry
No,Not Import,51033,FetalFN,Other Body Fluid,Chemistry
Yes,glucose,51034,"Glucose, Body Fluid",Other Body Fluid,Chemistry
Yes,lactate_dehydrogenase,51035,"LD, Body Fluid",Other Body Fluid,Chemistry
Yes,lipase,51036,"Lipase, Body Fluid",Other Body Fluid,Chemistry
Yes,magnesium,51037,"Magnesium, Body Fluid",Other Body Fluid,Chemistry
No,Not Import,51038,"Miscellaneous, Body Fluid",Other Body Fluid,Chemistry
Yes,osmolarity,51039,"Osmolality, Body Fluid",Other Body Fluid,Chemistry
Yes,phosphorus,51040,"Phosphate, Body Fluid",Other Body Fluid,Chemistry
Yes,potassium,51041,"Potassium, Body Fluid",Other Body Fluid,Chemistry
Yes,sodium,51042,"Sodium, Body Fluid",Other Body Fluid,Chemistry
Yes,protein,51043,"Total Protein, Body Fluid",Other Body Fluid,Chemistry
No,Not Import,51044,Triglycer,Other Body Fluid,Chemistry
Yes,blood_urea_nitrogen_(bun),51045,"Urea Nitrogen, Body Fluid",Other Body Fluid,Chemistry
Yes,albumin,51046,"Albumin, Pleural",Pleural,Chemistry
Yes,amylase,51047,"Amylase, Pleural",Pleural,Chemistry
Yes,bicarb_(hco3),51048,"Bicarbonate, Pleural",Pleural,Chemistry
Yes,bilirubin_total,51049,"Bilirubin, Total, Pleural",Pleural,Chemistry
Yes,chloride,51050,"Chloride, Pleural",Pleural,Chemistry
No,Not Import,51051,"Cholesterol, Pleural",Pleural,Chemistry
Yes,creatinine,51052,"Creatinine, Pleural",Pleural,Chemistry
Yes,glucose,51053,"Glucose, Pleural",Pleural,Chemistry
Yes,lactate_dehydrogenase,51054,"Lactate Dehydrogenase, Pleural",Pleural,Chemistry
Yes,lipase,51055,"Lipase, Pleural",Pleural,Chemistry
No,Not Import,51056,"Miscellaneous, Pleural",Pleural,Chemistry
Yes,potassium,51057,"Potassium, Pleural",Pleural,Chemistry
Yes,sodium,51058,"Sodium, Pleural",Pleural,Chemistry
Yes,protein,51059,"Total Protein, Pleural",Pleural,Chemistry
No,Not Import,51060,"Triglycerides, Pleural",Pleural,Chemistry
Yes,bicarb_(hco3),51061,"Bicarbonate, Stool",Stool,Chemistry
Yes,chloride,51062,"Chloride, Stool",Stool,Chemistry
Yes,osmolarity,51063,"Osmolality, Stool",Stool,Chemistry
Yes,potassium,51064,"Potassium, Stool",Stool,Chemistry
Yes,sodium,51065,"Sodium, Stool",Stool,Chemistry
Yes,calcium,51066,24 hr Calcium,Urine,Chemistry
Yes,creatinine,51067,24 hr Creatinine,Urine,Chemistry
Yes,protein,51068,24 hr Protein,Urine,Chemistry
Yes,albumin,51069,"Albumin, Urine",Urine,Chemistry
No,Not Import,51070,"Albumin/Creatinine, Urine",Urine,Chemistry
No,Not Import,51071,"Amphetamine Screen, Urine",Urine,Chemistry
Yes,amylase,51072,"Amylase, Urine",Urine,Chemistry
No,Not Import,51073,"Amylase/Creatinine Ratio, Urine",Urine,Chemistry
No,Not Import,51074,"Barbiturate Screen, Urine",Urine,Chemistry
No,Not Import,51075,"Benzodiazepine Screen, Urine",Urine,Chemistry
Yes,bicarb_(hco3),51076,"Bicarbonate, Urine",Urine,Chemistry
Yes,calcium,51077,"Calcium, Urine",Urine,Chemistry
Yes,chloride,51078,"Chloride, Urine",Urine,Chemistry
No,Not Import,51079,"Cocaine, Urine",Urine,Chemistry
No,Not Import,51080,Creatinine Clearance,Urine,Chemistry
Yes,creatinine,51081,"Creatinine, Serum",Urine,Chemistry
Yes,creatinine,51082,"Creatinine, Urine",Urine,Chemistry
No,Not Import,51083,"Ethanol, Urine",Urine,Chemistry
Yes,glucose,51084,"Glucose, Urine",Urine,Chemistry
No,Not Import,51085,"HCG, Urine, Qualitative",Urine,Chemistry
No,Not Import,51086,"Immunofixation, Urine",Urine,Chemistry
No,Not Import,51087,Length of Urine Collection,Urine,Chemistry
Yes,magnesium,51088,"Magnesium, Urine",Urine,Chemistry
No,Not Import,51089,Marijuana,Urine,Chemistry
No,Not Import,51090,"Methadone, Urine",Urine,Chemistry
No,Not Import,51091,"Myoglobin, Urine",Urine,Chemistry
No,Not Import,51092,"Opiate Screen, Urine",Urine,Chemistry
Yes,osmolarity,51093,"Osmolality, Urine",Urine,Chemistry
Yes,ph,51094,pH,Urine,Chemistry
Yes,phosphorus,51095,"Phosphate, Urine",Urine,Chemistry
No,Not Import,51096,Porphobilinogen Screen,Urine,Chemistry
Yes,potassium,51097,"Potassium, Urine",Urine,Chemistry
No,Not Import,51098,"Prot. Electrophoresis, Urine",Urine,Chemistry
No,Not Import,51099,Protein/Creatinine Ratio,Urine,Chemistry
Yes,sodium,51100,"Sodium, Urine",Urine,Chemistry
No,Not Import,51101,Total Collection Time,Urine,Chemistry
Yes,protein,51102,"Total Protein, Urine",Urine,Chemistry
No,Not Import,51103,Uhold,Urine,Chemistry
Yes,blood_urea_nitrogen_(bun),51104,"Urea Nitrogen, Urine",Urine,Chemistry
No,Not Import,51105,"Uric Acid, Urine",Urine,Chemistry
Yes,creatinine,51106,Urine Creatinine,Urine,Chemistry
No,Not Import,51107,"Urine tube, held",Urine,Chemistry
No,Not Import,51108,Urine Volume,Urine,Chemistry
No,Not Import,51109,"Urine Volume, Total",Urine,Chemistry
No,Not Import,51110,Atypical Lymphocytes,Ascites,Hematology
No,Not Import,51111,Bands,Ascites,Hematology
No,Not Import,51112,Basophils,Ascites,Hematology
No,Not Import,51113,Blasts,Ascites,Hematology
No,Not Import,51114,Eosinophils,Ascites,Hematology
No,Not Import,51115,"Hematocrit, Ascites",Ascites,Hematology
No,Not Import,51116,Lymphocytes,Ascites,Hematology
No,Not Import,51117,Macrophage,Ascites,Hematology
No,Not Import,51118,Mesothelial Cell,Ascites,Hematology
No,Not Import,51119,Metamyelocytes,Ascites,Hematology
No,Not Import,51120,Monocytes,Ascites,Hematology
No,Not Import,51121,Myelocytes,Ascites,Hematology
No,Not Import,51122,Nucleated RBC,Ascites,Hematology
No,Not Import,51123,Other,Ascites,Hematology
No,Not Import,51124,Plasma,Ascites,Hematology
No,Not Import,51125,Polys,Ascites,Hematology
No,Not Import,51126,Promyelocytes,Ascites,Hematology
No,Not Import,51127,"RBC, Ascites",Ascites,Hematology
No,Not Import,51129,Young,Ascites,Hematology
No,Not Import,51130,Absolute CD3 Count,Blood,Hematology
No,Not Import,51131,Absolute CD4 Count,Blood,Hematology
No,Not Import,51132,Absolute CD8 Count,Blood,Hematology
Yes,lymphocyte,51133,Absolute Lymphocyte Count,Blood,Hematology
No,Not Import,51134,Acanthocytes,Blood,Hematology
No,Not Import,51135,ADP,Blood,Hematology
No,Not Import,51136,Alpha Antiplasmin,Blood,Hematology
No,Not Import,51137,Anisocytosis,Blood,Hematology
No,Not Import,51138,Anticardiolipin Antibody IgG,Blood,Hematology
No,Not Import,51139,Anticardiolipin Antibody IgM,Blood,Hematology
No,Not Import,51140,Antithrombin,Blood,Hematology
No,Not Import,51141,APT Test,Blood,Hematology
No,Not Import,51142,Arachadonic Acid,Blood,Hematology
No,Not Import,51143,Atypical Lymphocytes,Blood,Hematology
No,Not Import,51144,Bands,Blood,Hematology
No,Not Import,51145,Basophilic Stippling,Blood,Hematology
No,Not Import,51146,Basophils,Blood,Hematology
No,Not Import,51147,Bite Cells,Blood,Hematology
No,Not Import,51148,Blasts,Blood,Hematology
No,Not Import,51149,Bleeding Time,Blood,Hematology
No,Not Import,51150,Blood Parasite Smear,Blood,Hematology
No,Not Import,51152,CD10,Blood,Hematology
No,Not Import,51153,CD103,Blood,Hematology
No,Not Import,51154,CD117,Blood,Hematology
No,Not Import,51155,CD11c,Blood,Hematology
No,Not Import,51156,CD13,Blood,Hematology
No,Not Import,51157,CD138,Blood,Hematology
No,Not Import,51158,CD14,Blood,Hematology
No,Not Import,51159,CD15,Blood,Hematology
No,Not Import,51161,CD16,Blood,Hematology
No,Not Import,51162,CD16/56 Absolute Count,Blood,Hematology
No,Not Import,51163,CD16/56%,Blood,Hematology
No,Not Import,51164,CD19,Blood,Hematology
No,Not Import,51165,CD19 %,Blood,Hematology
No,Not Import,51166,CD19 Absolute Count,Blood,Hematology
No,Not Import,51167,CD2,Blood,Hematology
No,Not Import,51168,CD20,Blood,Hematology
No,Not Import,51169,CD20 %,Blood,Hematology
No,Not Import,51170,CD20 Absolute Count,Blood,Hematology
No,Not Import,51171,CD22,Blood,Hematology
No,Not Import,51172,CD23,Blood,Hematology
No,Not Import,51173,CD25,Blood,Hematology
No,Not Import,51174,CD3 %,Blood,Hematology
No,Not Import,51175,CD3 Absolute Count,Blood,Hematology
No,Not Import,51176,"CD3 Cells, Percent",Blood,Hematology
No,Not Import,51177,CD33,Blood,Hematology
No,Not Import,51178,CD34,Blood,Hematology
No,Not Import,51179,CD38,Blood,Hematology
No,Not Import,51180,"CD4 Cells, Percent",Blood,Hematology
No,Not Import,51181,CD4/CD8 Ratio,Blood,Hematology
No,Not Import,51182,CD41,Blood,Hematology
No,Not Import,51183,CD45,Blood,Hematology
No,Not Import,51184,CD5,Blood,Hematology
No,Not Import,51185,CD5 %,Blood,Hematology
No,Not Import,51186,CD5 Absolute Count,Blood,Hematology
No,Not Import,51187,CD55,Blood,Hematology
No,Not Import,51188,CD56,Blood,Hematology
No,Not Import,51189,CD57,Blood,Hematology
No,Not Import,51190,CD59,Blood,Hematology
No,Not Import,51191,CD64,Blood,Hematology
No,Not Import,51192,CD7,Blood,Hematology
No,Not Import,51193,CD71,Blood,Hematology
No,Not Import,51194,"CD8 Cells, Percent",Blood,Hematology
No,Not Import,51195,Collagen,Blood,Hematology
Yes,d_dimer,51196,D-Dimer,Blood,Hematology
No,Not Import,51197,Elliptocytes,Blood,Hematology
No,Not Import,51198,Envelope Cells,Blood,Hematology
Yes,neutrophils,51199,Eosinophil Count,Blood,Hematology
Yes,neutrophils,51200,Eosinophils,Blood,Hematology
No,Not Import,51201,Epinepherine,Blood,Hematology
No,Not Import,51202,Factor II,Blood,Hematology
No,Not Import,51203,Factor IX,Blood,Hematology
No,Not Import,51204,Factor V,Blood,Hematology
No,Not Import,51205,Factor VII,Blood,Hematology
No,Not Import,51206,Factor VIII,Blood,Hematology
No,Not Import,51207,Factor VIII Inhibitor,Blood,Hematology
No,Not Import,51208,Factor X,Blood,Hematology
No,Not Import,51209,Factor XI,Blood,Hematology
No,Not Import,51210,Factor XII,Blood,Hematology
No,Not Import,51211,Factor XIII,Blood,Hematology
No,Not Import,51212,Fetal Hemoglobin,Blood,Hematology
No,Not Import,51213,Fibrin Degradation Products,Blood,Hematology
Yes,fibrinogen,51214,"Fibrinogen, Functional",Blood,Hematology
Yes,hematocrit,51221,Hematocrit,Blood,Hematology
Yes,hemoglobin,51222,Hemoglobin,Blood,Hematology
No,Not Import,51215,FMC-7,Blood,Hematology
No,Not Import,51216,Fragmented Cells,Blood,Hematology
No,Not Import,51217,Glyco A,Blood,Hematology
No,Not Import,51218,Granulocyte Count,Blood,Hematology
No,Not Import,51219,H/O Smear,Blood,Hematology
No,Not Import,51220,Heinz Body Prep,Blood,Hematology
No,Not Import,51223,Hemoglobin A2,Blood,Hematology
No,Not Import,51224,Hemoglobin C,Blood,Hematology
No,Not Import,51225,Hemoglobin F,Blood,Hematology
No,Not Import,51226,Hemogloblin A,Blood,Hematology
No,Not Import,51227,Hemogloblin S,Blood,Hematology
No,Not Import,51228,Heparin,Blood,Hematology
No,Not Import,51229,"Heparin, LMW",Blood,Hematology
No,Not Import,51230,HLA-DR,Blood,Hematology
No,Not Import,51231,Howell-Jolly Bodies,Blood,Hematology
No,Not Import,51232,Hypersegmented Neutrophils,Blood,Hematology
No,Not Import,51233,Hypochromia,Blood,Hematology
No,Not Import,51234,Immunophenotyping,Blood,Hematology
No,Not Import,51235,Inhibitor Screen,Blood,Hematology
No,Not Import,51236,Inpatient Hematology/Oncology Smear,Blood,Hematology
Yes,inr,51237,INR(PT),Blood,Hematology
No,Not Import,51238,Kappa,Blood,Hematology
No,Not Import,51239,Lambda,Blood,Hematology
No,Not Import,51240,Large Platelets,Blood,Hematology
No,Not Import,51241,Leukocyte Alkaline Phosphatase,Blood,Hematology
No,Not Import,51242,LUC,Blood,Hematology
No,Not Import,51243,Lupus Anticoagulant,Blood,Hematology
Yes,lymphocyte,51244,Lymphocytes,Blood,Hematology
Yes,lymphocyte,51245,"Lymphocytes, Percent",Blood,Hematology
No,Not Import,51246,Macrocytes,Blood,Hematology
No,Not Import,51247,MacroOvalocytes,Blood,Hematology
No,Not Import,51248,MCH,Blood,Hematology
No,Not Import,51249,MCHC,Blood,Hematology
No,Not Import,51250,MCV,Blood,Hematology
No,Not Import,51251,Metamyelocytes,Blood,Hematology
No,Not Import,51252,Microcytes,Blood,Hematology
No,Not Import,51253,Monocyte Count,Blood,Hematology
No,Not Import,51254,Monocytes,Blood,Hematology
No,Not Import,51255,Myelocytes,Blood,Hematology
Yes,neutrophils,51256,Neutrophils,Blood,Hematology
No,Not Import,51257,Nucleated Red Cells,Blood,Hematology
No,Not Import,51258,Osmotic Fragility,Blood,Hematology
No,Not Import,51259,Other Cells,Blood,Hematology
No,Not Import,51260,Ovalocytes,Blood,Hematology
No,Not Import,51261,Pappenheimer Bodies,Blood,Hematology
No,Not Import,51262,Pencil Cells,Blood,Hematology
No,Not Import,51263,Plasma Cells,Blood,Hematology
No,Not Import,51264,Platelet Clumps,Blood,Hematology
