physionet,import,super_table_col_name,component_id,component,loinc_code
no,No,(grouping)_drug_level,123042596,Valproic Acid,4086-5
No,No,(grouping)_venous_blood_gas,123041974,POCT PO2-Venous,2705-2
No,No,(grouping)_venous_blood_gas,123041966,POCT pH-Venous,2746-6
No,No,(grouping)_venous_blood_gas,123041958,POCT PCO2-Venous,2021-4
No,No,(grouping)_urine,123040153,Amorphous Crystals-Urine,53329-9
No,No,(grouping)_immune_test,123040449,CD3+ CD8+ %,8101-8
No,No,(grouping)_immune_test,123040445,CD4+/CD8+ Ratio,54218-3
No,No,(grouping)_immune_test,123040448,CD3+ CD8+ #,14135-8
No,No,(grouping)_venous_blood_gas,123041934,POCT Base Excess-Venous,1927-3
No,No,(grouping)_venous_blood_gas,123041945,POCT HCO3 (Meter)-Venous,14627-4
No,No,(grouping)_venous_blood_gas,123041983,POCT TCO2 (Meter)-Venous,48391-7
No,No,(grouping)_venous_blood_gas,123041979,POCT SO2 (Meter)-Venous,51731-8
No,Yes,thrombin_time,123042454,Thrombin Time,3243-3
Yes,Yes,creatinine,123000070,POCT Creatinine,38483-4
No,No,(grouping)_aterial_blood_gas,123041967,"POCT PO2,Temp Corrected-Art.",19255-9
No,No,(grouping)_hormone,123042517,Triiodothyronine(T3)-Serum,3053-6
No,No,(grouping)_aterial_blood_gas,123041959,"POCT pH,Temp Corrected-Art.",33254-4
No,No,(grouping)_aterial_blood_gas,123041951,"POCT PCO2,Temp Corrected-Art.",32771-8
No,No,(grouping)_comments,123060001,VIRAL LOAD COMMENT,NULL
No,No,(grouping)_comments,123040244,"Appearance,Centrifuged-Fluid",0
No,Yes,erythrocyte_sedimentation_rate_(esr),123042273,"Sed Rate,Westergren",4537-7
No,No,other,823042998,ACT - Celite,NULL
No,Yes,inr,123041366,INR (Meter),46418-0
No,Yes,prothrombin_time_(pt),123042068,Prothrombin Time (Meter),46417-2
No,No,morph,123049270,Dimorphic RBC,0
No,No,(grouping)_comments,286,General Categorization,NULL
No,No,(grouping)_immune_test,123042508,Treponemal IgG-Serum,47238-1
No,No,(grouping)_immune_test,367,HIV RNA COPIES*K/ML,20447-9
No,No,(grouping)_immune_test,368,HIV LOG10 COPIES/ML,29541-0
No,No,(grouping)_pregnancy,123041852,"Ph-Cord Blood,Arterial",28646-8
No,No,(grouping)_pregnancy,123041814,"Pco2-Cord Blood,Arterial",28644-3
No,No,(grouping)_pregnancy,123040312,"Base Excess-Cord Bld,Arterial",28638-5
No,No,(grouping)_pregnancy,123041251,"Hgb,Total-Cord Bld,Arterial",30354-5
No,No,(grouping)_pregnancy,123041925,"Po2-Cord Blood,Arterial",28648-4
No,No,(grouping)_pregnancy,123041775,Oxyhemoglobin-Cord Arterial,30370-1
No,No,morph,123049273,Smudge Cells,0
No,No,morph,123049266,RBC- Precipitated Hemoglobin,0
No,No,(grouping)_immune_test,123041165,HCV Log10 IU/ML,38180-6
No,No,(grouping)_urine,123000096,Methaqualone-Urine,3786-1
Yes,Yes,ph,123041871,Ph-Plasma,2753-2
No,No,(grouping)_comments,298,Specimen Adequacy,NULL
No,No,(grouping)_fluid_csf,123041574,RBC Count-CSF Fluid,0
No,No,(grouping)_fluid_csf,123041611,"Specimen Type,CSF",0
No,No,(grouping)_fluid_csf,123041614,CSF TUBE NUMBER,0
No,No,(grouping)_fluid_csf,123041615,"Appearance,Uncentrifuged-CSF",0
No,No,(grouping)_fluid_csf,123041662,WBC Count-CSF,0
Yes,Yes,fio2,123041938,POCT FIO2,19993-5
No,No,(grouping)_comments,359,Diagnosis,NULL
No,No,other,123041060,Gamma Glutamyl Trans(Ggt)Serum,2324-2
No,No,(grouping)_urine,497,"PROTEIN,QUALI-URINE, UPE",NULL
No,No,(grouping)_immune_test,123040184,ANA Screen Result,47383-5
No,No,(grouping)_urine,123042580,Uric Acid Crystals-Urine,5817-2
No,No,(grouping)_urine,123041621,Mucous-Urine,8247-9
No,No,other,123041059,Gamma Globulin-Spe,2874-6
No,No,morph,123049276,Dohle Bodies,0
No,No,(grouping)_comments,123041801,Path review requested,NULL
No,No,(grouping)_comments,1230141154,ICD CODE,0
No,No,(grouping)_urine,123042689,Albumin- Urine,14957-5
No,Yes,amylase,123040179,"Amylase,Total-Serum",1798-8
No,Yes,transferrin,123042497,Transferrin,3034-6
No,No,(grouping)_immune_test,123041166,HCV RNA-Pcr IU*K/ML,11011-4
No,No,(grouping)_comments,123040690,Comments,NULL
No,No,(grouping)_immune_test,123041423,L.Pneumophilia Grp 1 Ag-Urine,41499-5
No,No,diff,123049221,# Unidentified Cells- Man,0
No,No,other,123000123,P2Y12 Response,NULL
Yes,Yes,glucose,123041939,POCT Glucose (Meter),32016-8
No,No,diff,123049334,% Unidentified Cell-Man,0
No,No,other,123042808,CITRATED KAOLIN ANGLE - UNIT OF DEGREES,0
No,No,diff,123049284,Hypogranular Platelets,0
No,No,other,123042811,CITRATED FUNCTIONAL FIBRINOGEN MAXIMUM AMPLITUDE,0
No,No,other,123042812,ESTIMATED FUNTIONAL FIBRINOGEN LEVEL,0
No,No,other,123042813,CITRATED RAPID TEG MAXIMUM AMPLITUDE,0
No,No,other,123042809,CITRATED KAOLIN MAXIMUM AMPLITUDE,0
No,No,other,123042816,CITRATED KAOLIN HEPARINASE,0
No,No,morph,123049255,Stomatocytes,0
No,No,diff,123042566,% Unidentified Cells,44097-4
No,No,other,123042815,CITRATED KAOLIN R-TIME,0
No,No,(grouping)_immune_test,123040749,Cryptococcal Ag-Blood,31790-9
No,No,(grouping)_immune_test,123041202,HCV RNA- Pcr IU*K/ML,0
No,No,other,123042814,CITRATED KAOLIN K-TIME ,0
No,No,(grouping)_fluid_csf,123042126,RBC Count,0
No,No,(grouping)_immune_test,123041148,HBV Core IgM Antibody,24113-3
No,No,(grouping)_immune_test,123042245,Rubella Status,22496-4
No,No,(grouping)_immune_test,123042230,Rpr Titer-Serum,31147-2
No,No,(grouping)_immune_test,123040693,Complement C4-Serum,4498-2
No,No,diff,123042908,% Promyelocyte-Man,0
No,No,(grouping)_urine,123041577,Albumin/Creatinine Index,14959-1
No,No,(grouping)_immune_test,123040691,Complement C3-Serum,4485-9
No,No,(grouping)_fluid_body,123041557,WBC Count-Body Fluid,0
No,No,(grouping)_fluid_csf,123041590,% Lymphs-CSF,0
No,No,diff,123049241,# Promyelocytes- Man,0
No,No,(grouping)_toxicology,123041478,Lithium,3719-2
No,No,(grouping)_urine,123042486,Total Volume-Urine,3167-4
No,No,(grouping)_urine,159,"URINE COLLECTION,DURATION",13362-9
No,No,(grouping)_fluid_csf,362,"Specimen Type, Fluid",0
No,No,(grouping)_fluid_csf,844,"Appearance,Uncentrifuged-Fluid",0
No,No,(grouping)_fluid_body,123041443,"Ldh,Total-Fluid",0
Yes,Yes,troponin,123000071,Troponin (cTnI),0
No,No,(grouping)_nutrition,823042232,VITAMIN B1 (THIAMINE),0
No,No,(grouping)_nutrition,823042629,"Vitamin D,25-Hydroxy",1989-3
No,No,(grouping)_fluid_body,123041093,Glucose Fluid,0
No,No,(grouping)_immune_test,123043058,HIV-1 AB ,0
No,No,(grouping)_immune_test,123043059,HIV-2 AB ,0
No,No,(grouping)_immune_test,123043060,HIV 1/2 Confirmation,0
No,No,(grouping)_immune_test,305,DS-DNA ANTIBODY,5130-0
No,No,diff,123041591,% Monocytes-CSF,0
No,No,(grouping)_fluid_body,123041628,Specimen Type-Body Fluid,0
No,No,(grouping)_fluid_body,123041637,RBC Count-Body Fluid,0
No,No,(grouping)_immune_test,123042604,Varicella Zoster IgG,19162-7
No,No,(grouping)_oncology,123042049,Prostate Specific Ag-Serum,35741-8
No,No,(grouping)_urine,123042373,Sperm-Urine,8248-7
No,No,(grouping)_fluid_body,123041634,"Appearance,Uncentrifuged-Body Fluid",0
No,No,diff,123041581,% Neutrophils/Bands,0
No,No,other,823041051,"G6Pd,RBC Quant",32546-4
No,No,diff,123049213,# MYELOCYTE-MAN,0
No,No,(grouping)_fluid_body,123041642,% Lymphs-Body Fluid,0
No,No,(grouping)_nutrition,823042627,"Vitamin D,25-Hydroxy,D2",2236-8
No,No,(grouping)_nutrition,823042628,"Vitamin D,25-Hydroxy,D3",1990-1
No,No,(grouping)_fluid_csf,320,WBC Count-Fluid,0
No,No,(grouping)_immune_test,123042488,"Toxo IgG Antibody,Eia",40677-7
No,No,(grouping)_fluid_body,123041640,% Neuts-Body Fluid,0
No,No,(grouping)_comments,123041021,FNA Cell Blocks,NULL
No,No,(grouping)_fluid_body,123040178,"Amylase,Total-Fluid",0
No,No,(grouping)_hormone,323,T UPTAKE-SERUM,3050-2
No,No,(grouping)_hormone,123042463,"Thyroxine,Total(T4)",3026-2
no,No,(grouping)_drug_level,123040852,Digoxin,10535-3
No,No,diff,123042046,% Promyelocyte-Blood,26524-9
No,No,diff,123042047,# Promyelocytes-Blood,26523-1
No,No,(grouping)_hormone,123042429,"T4,Corrected(Calculated)",NULL
No,No,(grouping)_comments,123041024,FNA Smears,NULL
No,No,(grouping)_comments,123041025,FNA PASSES,NULL
No,No,(grouping)_urine,123042526,Triple Phosphate Crystals-Ur,5814-9
No,No,(grouping)_immune_test,123041280,HIV-1/2 Ab Rapid Screen,49580-4
No,No,(grouping)_fluid_body,123041653,% Macrophages-Body Fluid,0
No,No,other,12304200,HGB Phenotype,0
No,No,(grouping)_immune_test,123041144,"Hav Antibody,Total",13951-9
No,No,(grouping)_fluid_body,123041604,% Monocytes,0
No,No,(grouping)_immune_test,123041145,Hav IgM Antibody,22314-9
No,No,morph,123049252,Schistocytes,0
No,No,(grouping)_nutrition,823041572,Methylmalonic Acid,13964-2
No,No,(grouping)_immune_test,123041151,HAV IgG Antibody,0
Yes,Yes,fio2,123041014,Fio2,19993-5
No,No,(grouping)_immune_test,123042205,Rheumatoid Factor-Serum,11572-5
No,No,(grouping)_comments,297,Other Findings,NULL
No,No,(grouping)_fluid_body,123041508,% Lymphs-Fluid,0
No,No,(grouping)_pediatric,123041961,"POCT pH,Temp Corrected-Micro",39485-8
No,No,(grouping)_pediatric,123041953,"POCT PCO2,Temp Corrected-Micro",40620-7
No,No,(grouping)_pediatric,123041969,"POCT PO2,Temp Corrected-Micro",19256-7
No,No,(grouping)_fluid_body,123041647,% Monocytes-Body Fluid,0
No,No,(grouping)_fluid_body,123040113,"Albumin,Fluid",0
No,No,other,123041250,HGB A2 Quant,0
No,No,(grouping)_fluid_csf,123042543,CSF Tube #,0
No,No,(grouping)_oncology,123040419,Carcinoembryonic Ag (Cea),2039-6
No,No,(grouping)_fluid_body,123041995,% Polys-Fluid,0
No,No,(grouping)_urine,123042514,Trichomonas-Urine,5813-1
No,No,(grouping)_fluid_body,123041571,WBC Count-Fluid,0
No,No,(grouping)_fluid_body,123041670,RBC Count-Synovial Fluid,0
No,No,(grouping)_fluid_body,123041688,Crystals-Synovial Fluid,0
No,No,other,333,"HGB Phenotype,HPLC",NULL
No,No,other,123041231,"Hgb F Quantitation,HPLC",42246-9
No,No,(grouping)_fluid_body,123041572,% Neutrophils/Bands-Syn Fluid,0
