Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,
180,Amifostine 500 mg inj,amifostine,Not Recorded,none,1,,,
181,Amikacin Nebulized Soln.,amikacin,Not Recorded,none,1,,,
182,Amikacin Sulf. 1000mg/4mL inj,amikacin,Not Recorded,4 mL,591,mL,4,
183,Amikacin Sulfate 500 mg/ 2 mL inj,amikacin,Not Recorded,2 mL,1051,mL,2,
184,Amino Acid 3% UAC Line Fluid,amino acid 3% UAC,Not Recorded,none,27,,,
185,Amino Acid Injection 50gm/1000ml for Lutathera,Amino Acid Injection 50gm/1000ml for Lutathera,Not Recorded,1000 mL,701,mL,1000,
186,Amino Acids 10% (Trophamine) 500mL,amino acid 10%,Not Recorded,500 mL,14,mL,500,
187,Amino Acids 15% (Clinisol) inv. protocol AAA-177Lu-03,Amino Acids 15% (Clinisol) inv. protocol AAA-177Lu-03,Not Recorded,none,38,,,
188,Amino Acids 3% and Glycerin 3% / Lytes (ProcalAmine) 1000 mL,Amino acid Lytes 3% / Glycerin 3%,Not Recorded,1000 mL,13791,mL,1000,
189,Aminocaproic 500 mg tab,aminocaproic acid,Not Recorded,none,2,,,
190,Aminocaproic 5gm/20 mL inj,aminocaproic acid,Not Recorded,20 mL,26876,mL,20,
191,Aminocaproic acid 250mg/mL oral syrup,aminocaproic acid,Not Recorded,none,13,,,
192,Aminophylline 250 mg/ 10 mL inj,aminophylline,Not Recorded,10 mL,4,mL,10,
193,Aminophylline 500 mg/ 20 mL inj,aminophylline,Not Recorded,20 mL,51,mL,20,
194,Aminophylline 5mg/mL for ped syringe,aminophylline/ns,Not Recorded,none,1,,,
195,Aminosyn II 10% Solution 2000 mL (amino acid injection),amino acids 10%,Not Recorded,2000 mL,46,mL,2000,
196,Amiodarone 150 mg/100 mL Bolus,amiodarone,Not Recorded,100 mL,3165,mL,100,
197,Amiodarone 150 mg/100 mL Bolus,amiodarone in iso-dex,Not Recorded,100 mL,792,mL,100,
198,Amiodarone 150 mg/100 mL iso-dex Bolus,amiodarone in iso-dex,Not Recorded,100 mL,30110,mL,100,
199,Amiodarone 150 mg/3 mL inj,amiodarone,Milligrams/Minute,3 mL,639678,mL,3,
200,Amiodarone 200 mg tab,amiodarone,Not Recorded,none,19,,,
201,Amiodarone 450 mg/9 mL inj,amiodarone,Not Recorded,9 mL,46967,mL,9,
202,Amiodarone 900 mg Drip,amiodarone 900 mg drip,Not Recorded,none,24,,,
203,Amobarbital 500 mg inj,amobarbital,Not Recorded,none,1,,,
204,Amphotericin  liposomal  50 mg inj (Ambisome),amphotericin b liposome,Not Recorded,none,6039,,,
205,Amphotericin-B 50 mg inj,amphotericin B,Not Recorded,none,19,,,
206,Amphotericin-B 5mg/mL/D5W neonate syringe,amphotericin B in D5W syringe,Not Recorded,none,1,,,
207,Ampicillin 0.01mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded,none,3,,,
208,Ampicillin 0.1mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded,none,3,,,
209,Ampicillin 10 gm inj,ampicillin,Not Recorded,none,580,,,
210,Ampicillin 10mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded,none,3,,,
211,Ampicillin 1gm IVPB,ampicillin in ns,Not Recorded,none,4442,,,
212,Ampicillin 1gm inj,ampicillin,Not Recorded,none,2635,,,
213,Ampicillin 2 gm inj,ampicillin,Not Recorded,none,11900,,,
214,Ampicillin 250 mg inj,ampicillin,Not Recorded,none,87,,,
215,Ampicillin 2gm IVPB,ampicillin in ns,Not Recorded,none,36652,,,
216,Ampicillin 500 mg inj,ampicillin,Not Recorded,none,975,,,
217,Ampicillin 500mg IVPB,ampicillin in ns,Not Recorded,none,197,,,
218,Ampicillin 50mg/mL for Desensitization,ampicillin/ns for desensitization,Not Recorded,none,3,,,
219,Ampicillin-Sulbactam  1.5gm inj,ampicillin-sulbactam,Not Recorded,none,3210,,,
220,Ampicillin-Sulbactam 3gm inj,ampicillin-sulbactam,Not Recorded,none,14266,,,
221,Ampicillin/Sulbactam 1.5gm IVPB,ampicil/sulbact in ns,Not Recorded,none,8173,,,
222,Ampicillin/Sulbactam 3gm  IVPB,Ampicil/sulbact in ns,Not Recorded,none,103154,,,
223,Angiotensin II 2.5mg/ml,angiotensin II,ng/kg/min,none,17322,,,
224,Anti-Thymocyte Globulin (Rabbit) 25 mg/5 mL,anti-thymocyt globulin(rabbit),Not Recorded,5 mL,4136,mL,5,
225,Anti-Thymocyte Globulin for study,thymocyt glob/PBO p# ITN028A1,Not Recorded,none,5,,,
226,Anti-Thymocyte Globulin for study2,thymocyt glob p#thymo102700103,Not Recorded,none,3,,,
227,Anticoagulant Citrate B 500 mL,Anticoagulant citrate B,Not Recorded,500 mL,1,mL,500,
228,Anticoagulant Citrate Dextrose A 1000mL,Anticoagulant citrate dext-A,Not Recorded,1000 mL,68,mL,1000,
229,Anticoagulant Citrate Soln-A 500mL,anticoagulant citrate dext-A,Not Recorded,500 mL,89,mL,500,
230,Antihemophilic factor-von Willebrand factor Bolus,antihemophilic factor-von Willebrand in syringe,Not Recorded,none,126,,,
231,Antihemophilic factor-von Willebrand factor inj,antihemophilic factor-von Willebrand,Not Recorded,none,119,,,
232,Antithrombin III 500 units bolus,antithrombin III in syringe,Not Recorded,none,426,,,
233,Antithrombin III 500 units-bolus,antithrombin III,Not Recorded,none,433,,,
234,Antithrombin III 500 units-bolus,antithrombin III in syringe,Not Recorded,none,15,,,
235,Antithrombin III 500 units-bolus (OR CHARGE),antithrombin III,Not Recorded,none,13,,,
236,Antivenin (Crotalidae) polyvalent inj,"crotalidae, antivenin",Not Recorded,none,69,,,
237,Aprepitant 125 mg cap,aprepitant,Not Recorded,none,1,,,
238,Aprepitant 125 mg-80 mg kit,aprepitant,Not Recorded,none,1,,,
239,Aprepitant 40 mg caps,aprepitant,Not Recorded,none,327,,,
240,Aprepitant 80 mg cap,aprepitant,Not Recorded,none,45,,,
241,Argatroban 250 mg vial,argatroban,Not Recorded,none,128662,,,
242,Arginine 10% 300 mL,arginine 10%,Not Recorded,300 mL,498,mL,300,
243,Arsenic 10mg/10mL inj,arsenic trioxide,Not Recorded,10 mL,1009,mL,10,
244,Ascorbic 500 mg/mL 50 mL inj,ascorbic acid,Not Recorded,50 mL,15274,mL,50,
245,Ascorbic Acid 500 mg tab,ascorbic acid,Not Recorded,none,2,,,
246,Ascorbic Acid 500mg inj,ascorbic acid,Not Recorded,none,9,,,
247,Ascorbic acid 500 mg/mL 1mL inj,ascorbic acid,Not Recorded,1 mL,311,mL,1,
248,Aspirin 300 mg supp,aspirin,Not Recorded,none,4,,,
249,Aspirin 325 mg tab,aspirin,Not Recorded,none,33,,,
250,Aspirin 600 mg supp,aspirin,Not Recorded,none,1,,,
251,Aspirin 81 mg chew tab,aspirin chewable,Not Recorded,none,78,,,
252,Aspirin Buffered 325 mg tab,"aspirin, buffered",Not Recorded,none,43,,,
253,Aspirin EC 325 mg tab,aspirin ec,Not Recorded,none,100,,,
254,Atorvastatin 80 mg tab,atorvastatin,Not Recorded,none,1,,,
255,Atracurium 50 mg/5 mL inj,atracurium,Microgram/Kilogram/Minute,5 mL,42,mL,5,
256,Atropine 0.4mg/mL 20mL,atropine,Not Recorded,20 mL,8,mL,20,
257,Atropine 0.5mg/5mL inj,atropine,Not Recorded,5 mL,47,mL,5,
258,Atropine 1 mg/1 mL inj,atropine,Not Recorded,1 mL,241,mL,1,
259,Atropine Sulfate 0.4 mg/ 1mL inj,atropine,Not Recorded,1 mL,2066,mL,1,
260,Atropine Sulfate 1 mg/10 mL inj,atropine sulfate,Not Recorded,10 mL,1924,mL,10,
261,Avibactam-CefTAZidime 2.5 gm inj,avibactam-cefTAZidime,Not Recorded,none,6161,,,
262,Azacitidine 100 mg/10mL inj (IV),azacitidine,Not Recorded,10 mL,452,mL,10,
263,Azacitidine 100 mg/4mL inj (SubQ),azacitidine,Not Recorded,4 mL,6,mL,4,
264,Azathioprine 100 mg inj,azathioprine,Not Recorded,none,25,,,
265,Azithromycin 100 mg/5 mL susp.,azithromycin,Not Recorded,5 mL,1,mL,5,
266,Azithromycin 250 mg tablet,azithromycin,Not Recorded,none,2,,,
267,Azithromycin 500 mg inj,azithromycin,Not Recorded,none,598,,,
268,Azithromycin 500mg/NS 250ml IVPB,Azithromycin in ns,Not Recorded,250 mL,49426,mL,250,
269,Azithromycin 600 mg tab,azithromycin,Not Recorded,none,1,,,
270,Aztreonam 1gm/50 mL Iso-Dex IVPB,aztreonam in Iso-Dex,Not Recorded,50 mL,6030,mL,50,
271,Aztreonam 1gm/50mL NS IVPB,aztreonam in ns,Not Recorded,50 mL,6170,mL,50,
272,Aztreonam 20mg/mL neonate syringe,aztreonam/ns,Not Recorded,none,60,,,
273,Aztreonam 20mg/mL neonate syringe,aztreonam/ns syringe,Not Recorded,none,1,,,
274,Aztreonam 2gm/100mL NS IVPB,aztreonam/ns,Not Recorded,100 mL,6597,mL,100,
275,Aztreonam 2gm/50 mL Iso-Dex IVPB,aztreonam in Iso-Dex,Not Recorded,50 mL,10189,mL,50,
276,Aztreonam 75 mg for Inhalation,aztreonam,Not Recorded,none,3,,,
277,"Bacitracin 50,000 unit inj",bacitracin,Not Recorded,none,89,,,
278,Baclofen 10 mg tab,baclofen,Not Recorded,none,1,,,
279,"Bag, Empty Sterile (Polyolefin) 2L","bag, empty sterile (polyolefin)",Not Recorded,2 L,55,L,2,
280,"Bag, PCA  Infusion",pca -  bag,Not Recorded,none,210,,,
281,"Bag, Sterile Empty","Bag, Sterile Empty",Not Recorded,none,647,,,
282,"Bag, Sterile Empty for IVPB","Bag, Sterile Empty",Not Recorded,none,108,,,
283,"Bag, sterile for invst study","bag, sterile for invst study",Not Recorded,none,2,,,
284,Basiliximab 20mg inj,basiliximab,Not Recorded,none,2647,,,
